,review_id,star_rating,review_headline_clean,review_body_clean,compound,neg,neu,pos
41,R37VRG2JRLUORR,3,nothing special fit bill,work well enough purpose right size dig touch feature second start minute number button also good removable glass rotator thingy brings star count button size – super tiny handle microwave nice light door seal well make good combination open door hold one side apply opposite pressure open door think could solve super rubber foot add,0.9612,0.031,0.629,0.339
42,R1UFH7URKHIN3E,1,receive defected item,come brand new package item work,0.0,0.0,1.0,0.0
43,R3M0JKAJ6MB493,5,heat quickly easy clean,can't use feature timer go machine heat quickly easy clean,0.6808,0.0,0.588,0.412
44,RE5FI6X7K940Q,5,five star,get sooner thank,0.3612,0.0,0.444,0.556
45,R4IVJK585QSVN,4,good microwave,good microwave sure paint peel inside year scrap need cook thing really like style front completely match jenn-aire stove right cook wise fine heavily use many year reach end life struggle find replacement fit space match stave,0.9041,0.048,0.607,0.345
46,R191WJ8DHZTEB3,1,look like cook water room,come slightly damage main problem heat function try heat cup water microwave express look like cook water room temperature second tried function none work surface light vent fan work fine really try install trouble remove install another one.<br br order amazon contact seller home care company since saturday wait two work day get respond home care company sure happen recommend buy product buy online,0.8479,0.103,0.656,0.241
47,RX0KIGMX2MNAG,5,far good,count far good,0.4404,0.0,0.408,0.592
48,R33QQZWE5WZ1MK,5,easy install look great work great,light ge one replace easy simple use touchpad installation easy best come installation appliance usually pay someone previous review indicate simple right need people ready lift hang place,0.9022,0.038,0.623,0.339
49,R2XD9H8S4VPDDT,5,great microwave would purchase,install really easy microwave look work great button really touch sensitive seem clean easily,0.908,0.0,0.447,0.553
50,R2OXNE998ILXLZ,1,amazon review mislead,one bad amazon purchase hate microwave deeply regret purchasing giant heavy sits crook flat surface heat food unevenly get way well less money shock usually amazon review spot,-0.8448,0.323,0.537,0.141
51,R1CXMZHGT72D65,5,five star,instal part easy,0.4404,0.0,0.408,0.592
52,RUXO2SYPJHRAR,4,pretty good far,read review expensive upmarket brand microwave like lg panasonic go local canadian wal mart see had.<br br first thing notice one completely stainless steel front back outside inside around look like professional food service microwave stainless steel interior easy clean white paint one.<br br heard microwave oven last like use one low quality unbranded otr one mobile home moment new still work well ever another lg watt rv also good runner write july br want spend lot money microwave go last couple year well danby two year replacement warranty die time either get new one refund money spend one fair enough thou read,0.93,0.05,0.753,0.197
53,R1DDJOZCYZBOT9,5,enjoy travel rv,enjoy travel rv sharp convection/microwave oven love,0.8126,0.0,0.403,0.597
54,R2A9T9J3IZ5H5E,1,buying bosch,i've microwave month already handle broke apparently like everyone else's deal bosch customer service group horrible...required like phone call get replacement part order warranty want tech install finally convince send part free could install remove plastic trim inside discover screw hold top part handle behind metal piece seem impossible remove drill metal able get do whew,0.802,0.064,0.732,0.204
55,R3EPBXK1X7BZDI,5,excellent microwave job,excellent product job one home old over-the-stove unit fail rental immediately order another thing tricky install easily quickly resolve tenant happy i'm happy case old unit limited functionality whirlpool several feature new real benefit,0.9201,0.137,0.489,0.374
56,R1HFUJLGGZLA2X,5,five star,love,0.6369,0.0,0.0,1.0
57,R1SGRCSYQEMI0F,5,great drawer microwave,really like look microwave use model last home like new home build chose model instal new kitchen never issue classy look large enough casserole dish heat well,0.6463,0.073,0.695,0.232
58,R198VUDI60EYSE,2,microwave work fine buy back march,microwave work fine buy back march day ago would turn buy danby microwave,0.2023,0.0,0.87,0.13
59,R2VDH787K2ZDVS,2,point annoy know purchased,close door loud point annoy know purchase would buy expensive one deal noise every time close plastic cover button already rip less year work fine,-0.3321,0.106,0.838,0.056
60,RJSZGT70TBDBX,4,still box,purchase college student use yet still original box look nice however,0.6249,0.0,0.638,0.362
61,R1LKTKXR8G1437,5,five star,awesome,0.6249,0.0,0.0,1.0
62,R2UDBTRZJPU09T,3,little slow bad way quickly add,microwave reheat function work well little slow bad way quickly add second minute must always either select mode manually enter cook time start,-0.2782,0.122,0.798,0.08
63,R2487ZJ2GCE02N,5,five star,good item,0.4404,0.0,0.256,0.744
64,R33PO0Y4KJSRIB,5,love,reluctant get microwave limit counter space tiny apartment talk needing microwave realize convenient one find one that's right size that's know get let size fool you...it fit full size dinner plate five star sleek design function love,0.4215,0.11,0.74,0.15
65,R32U84HFYW9RAB,5,great price great microwave,microwave suppose easy use like express setting press single digit automatically put amount minute great urban kitchen need small kitchen take much space bring flight stairs nice light really compact heat food well great price,0.9552,0.0,0.611,0.389
66,R243KI1FG0AU9V,4,good smelly,microwave work fine number rusty spot clean inside really well sanded spot bare metal enough paint cover spot well put light layer remainder interior i.e give uniform color appearance issue take week air could still smell couple week later eventually go away overall i'm happy microwave continue work well look nice,0.9475,0.0,0.688,0.312
67,R2WZZTZYTMETND,5,real beauty,beautiful micro love work great,0.9217,0.0,0.141,0.859
68,R3E7YAWJUADFEN,4,satisfied,low price work well compact nice look,0.4215,0.191,0.364,0.445
69,R2DJ78G40RCH9Z,5,excellent,excellent love shape size perfect small kitchen,0.9118,0.0,0.256,0.744
70,RN8OH8WQQAE3Z,5,well expect,heard brand little unsure purchase really nice look quiet great value,0.8354,0.093,0.383,0.524
71,R1J4VBBQ7CY8LY,1,whirlpool turn garbage,two year own microwave start arc start look replace hv diode hv capacitor part damage magnetron go bad cheap replace whole microwave order part fix truly disappointed whirlpool product match whirlpool gold french door fridge buy time almost worth repair two year cheaply make disposable piece garbage,-0.7425,0.174,0.746,0.08
72,RRC3S9SHXY1XP,5,five star,good,0.4404,0.0,0.0,1.0
73,R2S6C5PBXVCHFD,5,five star,best efficient little microwave ever,0.7906,0.0,0.3,0.7
74,R1RCBMXTERHOHJ,5,five star,easily instal attractive operates easily,0.7717,0.0,0.206,0.794
75,RTRM5DKF96E9D,5,perfect size space think,perfect size space think one fit good quality,0.8442,0.0,0.355,0.645
76,R32N9OYUHZYHKB,2,happy new design,old version stop work replace microwave identical size old model exist.<br br two aspect problematic prior model one mount screw locate wrong position thankfully wall bracket one screw align perfectly drill one screw however two screw symmetrical i..e distance side microwave different bad engineering center gravity center.<br second interior grey cannot see food cook moreover bottom outside panel tint black unless ft tall cannot see dark interior small light.<br microwave arrive mount bracket locate top microwave carton bent thankfully old one use it.<br overall disappointed lg design backward compatibility old model,-0.6808,0.185,0.699,0.116
77,R39MLY03O5BEIB,4,four star,wonder ever produce microwave beep,0.0,0.0,1.0,0.0
78,R24L0SMFBBZ6HY,5,five star,happy,0.5719,0.0,0.0,1.0
79,R30L6DPZXQ6JDR,5,look great work great,look great work great i've use since may probably daily issue stainless inside well wipes clean easily food beverage seem heat evenly great deal,0.9612,0.0,0.48,0.52
80,R3B1AXP92P40OK,5,five star,love versatality oven,0.6369,0.0,0.323,0.677
81,R199R4XPI71OP6,4,great microwave,large heat food quickly easy use star size make sure room mine fridge make push button open door ideal rather pull door handle,0.8225,0.0,0.699,0.301
82,R24NEPZ4WFT7C0,5,we've happy,we've happy sure like dial first able dial extra time quick efficient,0.8834,0.0,0.415,0.585
83,R1PIZ8HOJNUTAF,1,po,receive microwave even work original packaging refund brilliant lol,0.836,0.0,0.403,0.597
84,R2B33BCFFCQ4DW,4,good value price,low power get job do good value money den microwave small office microwave perfect excellent value take bit longer large unit due low power work well,0.9186,0.107,0.457,0.437
85,R23V86M1E49J6O,5,sleek samsung microwave grill/combi feature,prompt delivery great look microwave cannot wait try grill function already go instruction book familiarize functionality,0.6249,0.0,0.785,0.215
86,R2E1MRFF2ETWMV,5,five star,great product,0.6249,0.0,0.196,0.804
87,R7AL22LD3THYB,3,good product price,look nice far work great good deal price,0.8689,0.0,0.338,0.662
88,R3RHTF0LIO1OBB,1,disappointed,purchase microwave january july microwave completely stop work whole microwave stop work clock everything want get money back microwave last year microwave last year microwave last month disappoint,-0.7496,0.233,0.728,0.039
89,R1AJIP6XR52IJV,5,adorable little microwave around,use microwave reheat coffee buy new house microwave kitchen kind like meh biggie however several weekend cold coffee cave go look small microwave would look cute kitchen counter without take much space freak happy literally adorable microwave could ever want microwave best option look something heat beverage reheat something small guy great mention cute,0.9756,0.056,0.569,0.376
90,R23Q0HY498I6ZP,4,right size,replace over-the-range microwave range hood need small microwave install pantry fit bill hold plate multiple power level cook use mostly rewarming take twice long old microwave that's okay one feature really like one-touch button speed cook start zap something second high minute minute etc quick handy,0.7346,0.0,0.857,0.143
91,R2CJ5TXV3GIRDY,1,microwave die within six month,buy microwave parent christmas six month die father attempt get refund process past month keep give run around buy product,-0.5994,0.17,0.83,0.0
92,R2L4EY0P304JL8,4,nice look,nice look unit arrive right schedule well package damage plus feature seem work particularly like fan seem quiet old unit complaint note couple others installation instruction screw wrong place fortunately install pro it--or micro would way back unit match lg appliance i'm pretty happy i'll update i've use micro ta y'all,0.8059,0.145,0.602,0.252
93,R3MIJAFRTBPML3,4,four star,power-horse great space tiny kitchen,0.6249,0.0,0.494,0.506
94,R3E421W44VLOGE,2,handle break common issue,microwave decent today plastic piece hold handle extremely thin year two light/normal use break read review see others complain issue part cost around i'm sure replace back screw cover door annoy,-0.5423,0.188,0.748,0.064
95,R3WP6JWEIUWIA,5,five star,work fine,0.2023,0.0,0.357,0.643
96,R2BODWYT9PR3JB,5,unit unusual special due vertical dimension,need vertical microwave fit special spot galley unit proven power interior space meet need,0.6369,0.0,0.698,0.302
97,RYOE2GLDD0U0X,5,excellent part,excellent quality fix microwave learn mfg offer year warranty,0.5719,0.0,0.684,0.316
98,R1KHFT5CGKK48W,1,terrible microwave heat food yet outside,terrible microwave heat food yet outside microwave get hot never microwave get hot outside work supplier replace,-0.4767,0.162,0.838,0.0
99,R2D7WQTXCQ18T6,3,three star,microwave fine shipping terrible,-0.3182,0.449,0.29,0.261
100,R2ZYJNJLVR8CP0,5,read manual reward,bit concerned reading rating take plunge i'm glad everything good well advertised product manual could stand extra effort simplification read peril wife please product hope last long original samsung year,0.8957,0.066,0.558,0.376
101,R3P9DLH7MBKD1M,3,job elegant,first...it's pretty big something consider live nyc apartment second...the door make pretty loud noise close door third...there's noise come unit sound like glass plate shake every time use overall heat food that's really need,0.802,0.042,0.739,0.219
102,RL1QISLPTAI4,4,good value,get good use small office work well seem well build hold well tough environment good value,0.9001,0.06,0.36,0.58
103,R3K2D443JAU9RW,5,five star,good,0.4404,0.0,0.0,1.0
104,R1BR2L4W12N06P,5,small space big job,great little addition plate large large microwave fit small space case corner,0.765,0.0,0.602,0.398
105,R3IKOSBYNYQXBP,5,work expect seem job,simple basic microwave work expect job perfect limit space countertop,0.5719,0.0,0.709,0.291
106,R3B2XBII0AQEFS,5,five star,receive product describe expeditiously,0.0,0.0,1.0,0.0
107,R7GHMJIK7ZYZQ,4,far good,month issue particular shortcoming nothing really outstanding work reasonable microwave,-0.5325,0.276,0.724,0.0
108,RL3IWA2QSALS8,3,microwave button feel cheap also,microwave button feel cheap also purchase go somewhere see microwave cubic foot literally can't even microwave hamster small,0.0,0.0,1.0,0.0
109,R1LD5M4RE6WLCE,5,five star,super,0.5994,0.0,0.0,1.0
110,R16Q3SEKYGVNE6,5,great little microwave,love microwave fit perfectly area want want simple small microwave fit bill microwave large many bell whistle attractive want stainless match appliances another danby product dehumidifier find danby good product one review read say microwave slid opening door find problem price great would definitely recommend,0.9792,0.04,0.477,0.483
111,R1JYKFIFTON0K9,5,great small kitchen,far good big enough fit large ikea plate think would pleasantly surprise want sacrifice counter space best option seem heat pretty well sometimes take little long microwave extra minute big deal size price fantastic buy.<br br edit think i'd update year still go strong issue whatsoever work well purchase,0.9806,0.0,0.556,0.444
112,REKNRPIWYQC90,4,four star,ok,0.296,0.0,0.0,1.0
113,R2UL1AD92GYETH,4,four star,perfect backroom please product,0.7184,0.0,0.25,0.75
114,R10L8O0TS6FAG4,4,microwave popcorn,say part fit specific application replace broken turntable motor microwave microwave burn thing one side leave rest cold great microwave work motor considerably cheap get new microwave best thing it.<br easy swap cover remove bottom microwave get turntable motor counter top microwave take chisel snip etc cut tabs hold cover panel sheet metal bottom oven case remove one screw unplug connector reverse process back place business cover plate may need screw hold place reassemble microwave include motor easy enough find hardware store scavenge old unused electronics,0.9042,0.09,0.731,0.179
115,R1WS8X1AG8C5MN,5,five star,excellent,0.5719,0.0,0.0,1.0
116,R2M9JER1R33XNZ,5,five star,work well,0.2732,0.0,0.323,0.677
117,R2NR0KJ8SLR2WL,1,great concept horrible quailty customer service buyer beward,microwave instal builder new home year month later totally die suddenly quit cook odd smell kill power unit sharp zero help representative give indication safety issue perhaps something could do stick gun warranty repairman blame motor board repair last even year thing happen burn smell quit work new repair company fix month later unit pick choose decided work door pop open push start button work close open ridiculous love concept work fine year totally ridiculous microwave price range last next door neighbor microwave their's broke within first year issue hop repairman fix seem like many alternative get something similar part make sharp update year new home repair microwave buyer beware,-0.8687,0.177,0.72,0.104
118,R9ECQ1ZR56HC2,4,great microwave,microwave month work perfectly setting front easy use regularly use second option button cook evenly watts good enough everything cook like fact light open door think beep end cook excessive like fact reminder beep minute plenty item need sit microwave minute cook reminder beep annoy personal preference though big enough take dinner plate still nice size small kitchen like look clean line knock star door button need lot pressure open microwave slide away unless hold hand perhaps put microwave non-slip mat would solve issue,0.9678,0.049,0.685,0.266
119,R3OQ1KN5DVJ89D,4,far good i'm enamor constant beeping,far good i'm enamor constant beeping thing do one kid use allow give evil stare ask use microwave look buy new one evil redheaded stepchild relax check specific machine say identical however one slightly large performs much fast one replace still problem wonder old one take much longer perform thing,-0.7003,0.182,0.696,0.122
120,RAPJI82JLVHI1,1,poor quality,dont buy it!!!<br button defective month,-0.5826,0.43,0.57,0.0
121,R3TC2LG93ZKSXR,5,wiseman say happy life happy wife,olver range model house leave downsize apartment countertop model one leave behind wiseman said<br happy life happy wife,0.7906,0.101,0.588,0.311
122,R1ZWVVTCOWDM71,5,great little microwave,great basic little microwave small basic function need heat thing thoroughly quickly surprise much hotter big ge,0.7564,0.0,0.698,0.302
123,R2WP0WR00QL0V1,5,simple control,love simple control microwave,0.6369,0.0,0.417,0.583
124,R2QH24GL108GJ8,5,could ask anything well,could ask anything well price cheap microwave work well.<br br door kind hard open open one hand tend push machine little.<br br issue heat seem work well.<br br sound kind loud..but microwave,0.8934,0.035,0.667,0.299
125,RY4326S1Y1KGT,5,still great read dimension,little small anticipate still great read dimension well,0.7351,0.0,0.492,0.508
126,RQGWL6FSHWCHS,4,good except dang superman door latch,nice microwave good size program button clear easy use reason give star door closure maybe folk door latch tight hold onto oven push button open door good thing really wish way adjust this-a bit aggravate hang shove stand open door one small note...i figure yet use timer go ahead cook without shut timer old one could find feature miss-have write danby ask i'm miss something seem slow respond update danby take week respond feared-you cannot set timer still use microwave cook-oh well definitely gonna miss feature old microwave make sure check review danby microwave actual model look at-amazon chosen lump danby model review whereas review watt review way seem wide gap review,0.9476,0.051,0.764,0.185
127,R2YLWV5JRVCK78,2,small,expect measurement give true item surprise big microwave turn dissappointed thought would get small microwave microwave take much space current one go back seller,0.5994,0.0,0.818,0.182
128,R3LWJVDVB6KWCV,5,work advertise proper prep work,work well properly prepare old microwave first degrease sand clean tap apply multiple light coat,0.5859,0.0,0.73,0.27
129,R2SB6J0RPRDTLH,1,oven stop work month get,"oven stop work month get samsung unhelpful repair guy come say fix still working,<br chase samsung week",-0.296,0.121,0.879,0.0
130,R1RZY6WFAX3VL5,4,seem like able fix,tiny promise powerful go tiny seem like able fix future model button open door require lot pressure,0.6597,0.096,0.57,0.333
131,R10PK7DWAEONM6,3,like sharp microwave,like sharp microwave mother one year one year require repair microwave need new magnetron fuse fix mother's microwave replace could find replacement part need hence purchase one almost exact replacement work well easy use happy outward appearance much black look cheap compare original one,0.91,0.0,0.743,0.257
132,R2OWZI76PO1NG9,4,four star,good,0.4404,0.0,0.0,1.0
133,R3TDTW18NRVOQR,1,stop work month,deliver feb stop work already brand new outlet know turn return window close mar,-0.296,0.145,0.855,0.0
134,R3OZD227MDBDHL,4,great microwave small space,good microwave perfect place limit counter space small able cook full meal microwave perfect basic microwave use heat frozen vegetable reheat leftover far work fine,0.9022,0.0,0.634,0.366
135,R15A4WHTTFWEI8,4,work well advantage think,work well advantage think y/o use supervision,0.4767,0.0,0.549,0.451
136,R1QWHQ8TFNMJ40,4,slide easily,work well grip reviewer handle slide easily,0.5423,0.0,0.526,0.474
137,ROJMMFHOJTELU,1,lemon,i've microwave month time replace light microwave maybe time sometimes burn time explode seem odd thing keep go previous cheapo microwave work year need bulb change twice.<br br last night light pop microwave blew fuse since fan light completely stop work oven still work make super uncomfortable quiet heat need fan need vent know know comment i'm read amazon i'm comfortable find out.<br br call lg ask plug explain microwave work fan lightbulb say probably outlet helpful call repairman say fix would cost ugh look like market new microwave,0.8722,0.094,0.711,0.195
138,R3E0UBBYGRCFRR,5,perfect space size,perfect space size cabinet space work perfectly can't put regular size plate still serve purpose,0.836,0.0,0.622,0.378
139,R23DF21WLIID6F,4,four star,push button ok occasionally push harder operate,0.296,0.0,0.732,0.268
140,R2S14XJ2751E4X,1,nm,,0.0,0.0,0.0,0.0
141,R29P1XS5DMQ7FY,4,own since december,overall like would recommend one issue late door require several push open i've clean area see obvious issue concern may worsen far negative i've experience i'm contacting samsung directly one,-0.0772,0.176,0.63,0.194
142,RWI2FSOJQXPTW,5,solid microwave look work perfect see photo,love one favorite part kitchen remodel space-saver cool read negative review stem revolve plate might damage someone push well duh know stand on/in microwave need revolve plate use microwave quick stuff rotisserie chicken what-not super-pleased microwave,0.5719,0.142,0.619,0.239
143,R2C1SZLAR10YS3,4,solid microwave get cons..still recommend efficiency,bought m/w use apartment read good review amazon functionality performance even look-wise great buy complaint couple important downside microwave...it loud keep beep even timer do second timer already mention reviews/q&as fact..just confirm,0.743,0.103,0.639,0.258
144,R1Z5MFDJGISHRU,4,pleased,pleased save space love,0.8834,0.0,0.088,0.912
145,R22FBTW1LVP90S,4,satisfied,microwave great size perfect small studio apartment lot countertop real estate stainless steel finish look really nice sturdy construction work well light turn open door nice feature dock star button little difficult push microwave big deal,0.931,0.046,0.621,0.333
146,R17BI1WY8EQY78,2,use open easily longer open push,i've microwave use open easily longer open push button manually pull door open definitely disappointment hope return,0.5719,0.136,0.535,0.329
147,R2C3R2WPMW8XNE,3,three star,fun thought would,0.5106,0.0,0.377,0.623
148,R3070M1GUMFCBN,4,small apartment well pleased take lot room,fit counter top small apartment well pleased take lot room seem work efficiently thank,0.91,0.0,0.356,0.644
149,RSLNVGRUD0SAF,1,problem month disappoint,microwave work fine month start problem door totally disappointed see problem month customer service rude unhelpful,-0.8748,0.48,0.447,0.073
150,R2YMXF378Y8F4A,5,five star,happy,0.5719,0.0,0.0,1.0
151,REU14VXUS7CGL,5,five star,work way expect work,0.0,0.0,1.0,0.0
152,RET70WLZ98W1N,1,buy piece junk,wish could give zero star buy last year go kitchen remodel every appliance lg washer dryer include luckily still work work time prefer food grill rarely use microwave buy case method heat leftover microwave die today stop heat everything else apparently work apparently faulty magnetron wide spread occurrence live chat online rep want send service tech hour away decline explain similar issue owner model state look recalled way mess unit forward amazon review basically like yeah ok want find service center end conversation end session wasnt finish chat never buy lg appliance<br br chat log:<br chat transcript<br time chat pm<br length chat name rafael vazquez<br chat michelle paulsen<br br pm michelle hello rafael vazquez welcome lg electronics u.s.a support may provide excellent service today?<br pm rafael vazquez hello microwave stop heat today.<br pm michelle hi rafael<br pm michelle sorry hear this.<br pm michelle let’s perform simple troubleshoot step see resolve issue.<br pm rafael vazquez i'm sorry experience this...lol<br pm rafael vazquez ok<br pm michelle microwave oven heat may cause enter wrong setting inadequate power supply.<br pm michelle let's test unit:<br pm michelle place microwaveable safe cup mug bowl water inside microwave oven.<br pm rafael vazquez ok<br pm michelle press clear/off reset clear keypad.<br pm michelle press cook enter seconds).<br pm michelle press start/pause.<br pm michelle water heat?<br pm rafael vazquez start it<br pm rafael vazquez start it<br pm michelle ok<br pm rafael vazquez heat<br pm michelle see keypad respond microwave start?<br pm rafael vazquez yes<br pm michelle timer count accelerate rate?<br pm rafael vazquez no<br pm michelle unit dedicate circuit breaker?<br pm rafael vazquez yes<br pm michelle great!<br pm michelle please turn back circuit breaker unit heat now?<br pm rafael vazquez ok give minute<br pm michelle sure<br pm michelle take time<br pm rafael vazquez heat<br pm michelle thank cooperation patience answer question regard unit rafael do troubleshoot step unit may require visit professional service technician diagnose correct issue.<br pm michelle may exact date purchase unit please?<br pm rafael vazquez suck i've look around online appear common issue model<br pm rafael vazquez pm michelle purchase extend warranty?<br pm rafael vazquez no<br pm michelle see would delight provide authorize service center area help repair may know zip code please?<br pm rafael vazquez pm michelle thank much kindly give moment.<br pm michelle upon check may call freeman's appliance set service unit<br pm rafael vazquez located?<br pm michelle highway pm michelle duncan ok<br pm rafael vazquez thanks that's hour away probably cost fix microwave worth terrible microwave barely last year.<br pm michelle understand respect decision want unit service rafael.<br pm michelle anything else assist today?<br pm rafael vazquez nope i'll never buy lg product horrible review owners(rated star amazon similar problem online year use look like model recall obviously faulty components.<br pm michelle file report complaint.<br pm rafael vazquez either stop heating catch fire<br pm michelle pleasure assist today question concern please hesitate contact via live chat phone thank choose lg electronics appreciate business great day,0.9917,0.071,0.773,0.156
153,RC7Y30OR77HQK,5,wonderful look quite large,measure well wonderful piece equipment much large return sorry i'd love keep,0.8658,0.067,0.415,0.518
