,review_id,awesome,great,cute,clean,favorite,dirty,loose,expensive,unfortunately,wrong
54,R1BGPCYL8W5VA1,not,not,not,not,not,not,not,not,not,not
55,R3LVPU0EI7A8W1,not,not,in,not,not,not,not,not,not,not
56,RTW8JH4X2T475,not,not,not,not,not,not,not,not,not,not
57,R3IISR5NZR7M5F,not,not,not,not,not,not,not,not,not,not
58,R3DF3KZPQAY5TF,not,not,not,not,not,not,not,not,not,not
59,R2M6JWR2M8J8O7,not,not,in,not,not,not,not,not,not,not
60,R2MBPE42AL8HJB,not,not,not,not,not,not,not,not,not,not
61,R2H5Z6KTXYVPDU,not,not,not,not,not,not,not,not,not,not
62,RGW6HZB0F8EHG,not,not,not,not,not,not,not,not,not,not
63,R1BUXLXR3JDCOO,not,not,not,not,not,not,not,not,not,not
64,R1DWYYC1QWV7PJ,not,not,in,not,in,not,not,not,not,not
65,RHT25183W91GO,not,not,not,not,not,not,not,not,not,not
66,R14J1X32N8O6KU,not,not,not,not,not,not,not,not,not,not
67,RNG6UA952IQMN,not,not,not,not,not,not,not,not,not,not
68,R3OZNWYPA6417Q,not,not,not,not,not,not,not,not,not,not
69,R3A7R5SLIU4JCL,not,not,in,not,not,not,not,not,not,not
70,R2L6QTVHUOEB5S,not,not,not,not,not,not,not,not,not,not
71,R9QPNS02RQN7V,not,not,not,not,not,not,not,not,not,not
72,RFPEDEJWHK71C,not,not,not,not,not,not,not,not,not,not
73,R2DJNNJPFZQZ8X,not,not,not,not,not,not,not,not,not,not
74,RKZ7E8MZ81Z1F,not,not,not,not,not,not,not,not,not,not
75,RAYT0H5MYNJIZ,not,not,not,not,not,not,not,not,not,not
76,R11XQNQQHXVLE0,not,not,not,not,not,not,not,not,not,not
77,R1TOPQ9LYVWLEQ,not,not,in,not,not,not,not,not,not,not
78,R3L2XRVPW48ZH4,not,not,not,not,not,not,not,not,not,not
79,R19YVWB63R7ISL,not,not,not,not,not,not,not,not,not,not
80,R9ANTZOZ8KVRL,not,not,not,not,not,not,not,not,not,not
81,R3U8H2JZK01ORC,not,not,not,not,not,not,not,not,not,not
82,R2MAKK4LLO8EFU,not,not,not,not,not,not,not,not,not,not
83,R2LP2MOF6R67VN,not,not,not,not,not,not,not,not,not,not
84,R2P984ZAWSXNP8,not,not,not,not,not,not,not,not,not,not
85,R3FD4HXLLMNKQV,not,not,not,not,not,not,not,not,not,not
86,RTQ7NXXDVJ0O6,not,not,not,not,in,not,not,not,not,not
87,R2X97G2665BLF4,not,not,in,not,not,not,not,not,not,not
88,R5BTBQ3YZJEIB,not,not,not,not,not,not,not,not,not,not
89,RYRO12BSTMG87,not,not,not,not,not,not,not,not,not,not
90,R129FJQB145221,not,not,not,not,not,not,not,not,not,not
91,R29OV6OSLX7VQC,not,not,not,not,not,not,not,not,not,not
92,R2RA264AB5EG8E,not,not,not,not,not,not,not,not,not,not
93,R1GLNZNZ6SQ0VM,not,not,not,not,not,not,not,not,not,not
94,R1NELFZURZ2394,not,not,not,not,not,not,not,not,not,not
95,R2JABZDGWK12F3,not,not,not,not,not,not,not,not,not,not
96,R1GA1X199CI282,not,not,not,not,not,not,not,not,not,not
97,RSWPIE4Y8G1RU,not,not,not,in,not,not,not,not,not,not
98,R3KMVPIDCX0ZXS,not,not,not,not,not,not,not,not,not,not
99,R39C7KE82QARUX,not,not,not,not,not,not,not,not,not,not
100,R14VW64XW155V1,not,not,not,not,not,not,not,not,not,not
101,R1M5LEX1BH0RQ6,not,not,in,not,not,not,not,not,not,not
102,R731YMDMW9JXO,not,not,in,not,not,not,not,not,not,not
103,R3UOUNVET516OW,not,not,not,not,not,not,not,not,not,not
104,R1OZUHZUXD0R2L,not,not,not,not,not,not,not,not,not,not
105,R310NVVI9PIHTL,not,not,not,not,not,not,not,not,not,not
106,R3QMHQM8W47IO9,not,not,not,not,not,not,not,not,not,not
107,R1W2WL0SRIL2X,not,not,not,not,not,not,not,not,not,not
108,R1Y4WSOPOPC89S,not,not,not,not,not,not,not,not,not,not
109,R2AABN1GYF3UVA,not,not,not,not,not,not,not,not,not,not
110,R2U82LEBDLN3LD,not,not,not,not,not,not,not,not,not,not
111,R1OL3OO3SLN95F,not,not,not,in,not,not,not,not,not,not
112,R33Y9T3Q6HSJQV,not,in,not,not,not,not,not,not,not,not
113,R9LWXAGBRBRR5,not,not,not,not,not,not,not,not,not,not
114,R1LYI1CNWLHU89,not,not,not,not,not,not,not,not,not,not
115,R118VPCWPTKMPW,not,not,not,not,not,not,not,not,not,in
116,R3NNJ8XUV0LS4P,not,not,not,not,not,not,not,not,not,not
117,RE2JG1DPUU5KK,not,not,not,not,not,not,not,not,not,not
118,R6CW9ASP7TNJN,not,not,not,not,not,not,not,not,not,not
119,R1L8X6EOUV9ORB,not,not,not,not,not,not,not,not,not,not
120,R3VY8OJ8YUBGPN,not,not,not,not,not,not,not,not,not,not
121,R3B2L8GF0OIOA6,not,not,not,not,not,not,not,not,not,not
122,R3VHFGDVLKE7MU,not,not,not,not,not,not,not,not,not,not
123,R38709MVR69R9X,not,in,not,not,not,not,not,not,not,not
124,RA6IHF64PY1Q1,not,not,not,not,not,not,not,not,not,not
125,R3BGAN1DSTVVY8,not,not,not,not,not,not,not,not,not,not
126,R24IH39FT0MHP7,not,not,not,not,not,not,not,not,not,not
127,R2LPUSAAFDSDO0,not,not,not,not,not,not,not,not,not,not
128,R3NVE5E5G5S9RU,not,not,not,not,not,not,not,not,not,not
129,R28ZALN7YGAPQ3,not,not,not,not,not,not,not,not,not,not
130,R37X7CWZMZ27AD,not,not,not,not,not,not,not,not,not,not
131,R3HTNROUIP3X3Q,not,not,not,not,not,not,not,not,not,not
132,R3KBTQ97ZQPBP1,not,in,not,not,not,not,not,not,not,not
133,R3ENZ68F5N4JD3,not,not,not,not,not,not,not,not,not,not
134,R3RACFTREJ9Y8J,not,not,in,not,not,not,not,not,not,not
135,R14QN7FFR05989,not,not,not,not,not,not,not,not,not,not
136,R18F6J16PMY490,not,not,not,not,not,not,not,not,not,not
137,R2CKYQ4ZGAM5R2,not,not,not,not,not,not,not,not,not,not
138,R18JPP76OIVSYS,not,not,not,not,not,not,not,not,not,not
139,R3V5MRB4KSOM38,not,not,not,not,not,not,not,not,not,not
140,R229L0AZ6UWCWD,not,not,not,not,not,not,not,not,not,not
141,R137V5NHV2NSB5,not,not,not,not,not,not,not,not,not,not
142,R3K6L7QQUZMO29,not,not,not,not,not,in,not,not,not,not
143,R3G21HB41QRFKP,not,not,not,not,not,not,not,not,not,not
144,R1WJL5LJFDXMAG,not,not,not,not,not,not,not,not,not,not
145,R1JMEC4M3M2GJE,not,not,not,not,not,not,not,not,not,not
146,R29LL4XZOWGY1J,not,not,not,not,not,not,not,not,not,not
147,R2UBXQ9828XH2E,not,in,in,not,not,not,not,not,not,not
148,R2UJJ3N7WD5WFZ,not,not,not,not,not,not,not,not,not,not
149,R1GNJG49AVFT87,not,not,not,not,not,not,not,not,not,not
150,r1edn9n4ffkgh5,not,not,not,not,not,not,not,not,not,not
151,RG2TK2BB1MU9T,not,not,not,not,not,not,not,not,not,not
152,R7E7RZVZV9WLY,not,not,not,not,not,not,not,not,not,not
153,R2QR0N9SU90DH0,not,not,not,not,not,not,not,not,not,not
154,R3CWQVRM78QIP9,not,not,not,not,not,not,not,not,not,not
155,R1RNVSK1EBVHUM,not,not,not,not,not,not,not,not,not,not
156,R2LINUKDDR0Q7C,not,not,not,not,not,not,not,not,not,not
157,R1S1D4I379048K,not,not,not,not,not,not,not,not,not,not
158,R3H0J5LEHLQJP6,not,not,not,not,not,not,not,not,not,not
159,RQQ4PCUMT0JXK,not,in,not,not,not,not,not,not,not,not
160,R3T07VRZ362OOV,not,in,not,not,in,not,not,not,not,not
161,R2RMZRAXQ55RFC,not,not,not,not,not,not,not,not,not,not
162,RZRA3YTG55QV4,not,not,not,not,not,not,not,not,not,not
163,R3P64C6BA8UM0E,not,not,not,not,not,not,not,not,not,not
164,R2W23KJOOAW2Z0,not,not,not,not,not,not,not,not,not,not
165,RJIDW1C1TZY2R,not,not,not,not,not,not,not,not,not,not
166,R311OEV7PEP0N9,not,not,not,not,not,not,not,not,not,not
167,R1PMC2ZC4KYQ8H,not,not,not,not,not,not,not,not,not,not
168,R1URE9NUB5M9C,not,not,in,not,not,not,not,not,not,not
169,R1FJQLOIBJP4Q9,not,not,not,not,not,not,not,not,not,not
170,R2ZSYO3D4SFPOV,not,not,not,not,not,not,not,not,not,not
171,R122IEEP0BOR2T,not,not,not,not,in,not,not,not,not,not
172,R1CEDKY6PWIX1M,not,not,not,not,not,not,not,not,not,not
173,R2U9QQ1BVZY6QF,not,not,not,not,not,not,not,not,not,not
174,R3IJPF591TKS7D,not,not,in,not,not,not,not,not,not,not
175,R3R58IL0C8S5QI,not,in,not,not,not,not,not,not,not,not
176,R2WZTV9X59OZJU,in,not,not,not,not,not,not,not,not,not
177,RIG3G4U0SGIXF,not,not,in,not,not,not,not,not,not,not
178,R2BM86HJ4VF6LB,not,not,not,not,not,not,not,not,not,not
179,R18TPJPWJP13YJ,not,not,not,not,not,not,not,not,not,not
180,R18ZDG79G1QRK6,not,not,not,not,not,not,not,not,not,not
181,R3BMA4W8AQER7O,not,not,in,not,not,not,not,not,not,not
182,R1JQSNGYY9IDOK,not,not,not,not,not,not,not,not,not,not
183,R30FLLU4LMU9FI,not,not,not,not,not,not,not,not,not,not
184,R38V0E9WKGODNU,not,not,not,not,not,not,not,not,not,not
185,RWH3I8QXID8PK,not,not,not,not,not,not,not,not,not,not
186,R2LTY048BJP05E,not,not,not,in,not,not,not,not,not,not
187,R18X3WCUV17RGF,not,not,in,not,not,not,not,not,not,not
188,R3KLNBZOXZ9LGP,in,not,not,not,not,not,not,not,not,not
189,R397BQWVZXQLXC,not,not,not,not,not,not,not,not,not,not
190,R2ITXHG8RIYUTR,not,not,not,not,not,not,not,not,not,not
191,R32TBILM50KVRT,not,not,not,not,not,not,not,not,not,not
192,R1XU1LOMQP88ET,not,not,not,not,not,not,not,not,not,not
193,R2TOQKO7CVPBWM,not,not,not,not,not,not,not,not,not,not
194,R3NPABXE2LY95A,not,not,not,not,not,not,not,not,not,not
195,R2DQVV28C3I4AJ,not,not,not,not,not,not,not,not,not,not
196,R2XX7A3Q3XJER5,not,not,not,not,not,not,not,not,not,not
197,r2sf462v3123g7,not,in,not,not,not,not,not,not,not,not
198,R337HCTI1HUCBD,not,not,not,not,not,not,not,not,not,not
199,R29XDWJQ3P2I0E,not,not,not,not,not,not,not,not,not,not
200,R37650H6KT5H7E,not,not,not,not,not,not,not,not,not,not
201,R2XRB5639QYMNB,not,not,not,not,not,not,not,not,not,not
202,R2Y4P4TS98DAPY,not,not,not,not,not,not,not,not,not,not
203,R1O9T1K8IYN5Q9,not,not,not,not,not,not,not,not,not,not
204,RLNZXB3WVKS4D,not,not,not,not,not,not,not,not,not,not
205,R149FIQTT4UEI2,not,not,not,not,not,not,not,not,not,not
206,R1N7EF72A6DM0W,not,not,not,not,not,not,not,not,not,not
207,R3FR7WC1G37EYE,not,not,not,not,in,not,not,not,not,not
208,R1NSMQ5JU6W4W5,not,not,not,not,not,not,not,not,not,not
209,RSAFMF30EFKM0,not,not,in,not,not,not,not,not,not,not
210,RQJIDW26VOJIQ,not,not,in,not,not,not,not,not,not,not
211,R2KETEZ16KAUYR,not,in,not,not,not,not,not,not,not,not
212,R39QAJKWQWQ1LS,not,in,not,not,not,not,not,not,not,not
213,R30BWUNE320GF6,not,not,not,not,not,not,not,not,not,not
214,R1DVI494ZWEMK1,not,not,not,not,not,not,not,not,not,not
215,R25J9FHCLBEKL9,not,not,in,not,not,not,not,not,in,not
216,R3CG4QDJNO4W74,not,not,not,not,not,not,not,not,not,not
217,r125xo737es4bf,not,not,not,not,not,not,not,not,not,not
218,R2N4UYQ6QLUWJ4,not,not,not,not,not,not,not,not,not,not
219,R10KA44L8SB59A,not,not,not,not,not,not,not,not,not,not
220,R25B48DBYSQJNA,not,not,not,not,not,not,not,not,not,not
221,R105FCW7G8HS3,not,not,in,not,not,not,not,not,not,not
222,R1GRT261B5Q5KK,not,in,in,not,not,not,not,not,not,not
223,RMRAOH9LOV6Q7,not,in,not,in,not,not,not,not,not,not
224,RY8WVLR81BMM4,not,not,not,not,not,not,not,not,not,not
225,R12B95ZC4GO4H6,not,in,not,not,not,not,not,not,not,not
226,R19RCA7LH3DSF8,not,not,not,not,not,not,not,not,not,not
227,R3GX1I6WBEUDMN,not,not,not,not,in,not,not,not,not,not
228,RML2E0TXZE66F,not,not,not,not,not,not,not,not,not,not
229,R5N979X7IOIFG,not,not,not,not,not,not,not,not,not,not
230,R1FBW7UO8LH04J,not,not,in,not,not,not,not,not,not,not
231,RSI7UB1L2U0AW,not,not,not,not,not,not,not,not,not,not
232,R2W3RWKE5AP90R,not,not,in,not,not,not,not,not,not,not
233,R61OIRB78M7OW,not,not,not,not,not,not,not,not,not,not
234,R2WPQQNPXZRVDO,not,not,not,not,not,not,not,not,not,not
235,rhw33rlfqf74g,not,not,in,not,not,not,not,not,not,not
236,R3J4GQDWRSATK6,not,not,not,not,not,not,not,not,not,not
237,R1XHSO1BYU7EAZ,not,not,in,not,not,not,not,not,not,not
238,R3F4WULSHPTNSC,not,not,not,not,not,not,not,not,not,not
239,RQ3CSRKN1GR1F,not,not,not,not,not,not,not,not,not,not
240,RCSXFT6RP2WJG,not,not,not,not,not,not,not,not,not,not
241,R2GY61ABKWXA73,not,in,not,in,not,not,not,not,not,not
242,RO2ANKRS18RAL,not,not,not,not,not,not,not,not,not,not
243,R1IP03D9KKGHIQ,not,not,not,not,not,not,not,not,not,not
244,R2BZURO7E6FE4P,not,not,not,not,in,not,not,not,not,not
245,R39BKWATGQB2G6,not,not,in,not,not,not,not,not,not,not
246,R2VNJYJ2ING6DK,not,not,not,not,not,not,not,not,not,not
247,R1NKP0KPD5WQ4G,not,not,not,not,not,not,not,not,not,not
248,RAP57BOKBA5HS,not,not,not,not,not,not,not,not,not,not
249,RHF6LHG8EBLUH,not,not,not,not,in,not,not,not,not,not
250,R3SHSJ9378AEQ7,not,in,not,not,not,not,not,not,not,not
251,R1CJ1FG43XG73Y,in,in,in,not,not,not,not,not,not,not
252,R1G56SKEHO910W,not,not,not,not,not,not,not,not,not,not
253,RAQWMDZTMXBN7,not,not,in,not,not,not,not,not,not,not
254,R23NTHCL6DA7XL,not,not,not,not,not,not,not,not,not,not
255,R3MJQ5Q5M8PK4M,not,not,not,not,not,not,not,not,not,not
256,R1A97S7ANH0QGN,not,not,in,not,not,not,not,not,not,not
257,R143I8PT9UZE8V,not,not,not,not,not,not,not,not,not,not
258,RU703Y6BZRXBD,not,not,not,not,not,not,not,not,not,not
259,rejc47q873yfn,not,not,not,not,not,not,not,not,not,not
260,R1JTK9ABGYY649,not,in,not,not,not,not,not,not,not,not
261,RH5PMMGMXCUO,not,not,not,not,in,not,not,not,not,not
262,R2Q5CM6K0HLV01,not,not,not,not,not,not,not,not,not,not
263,RINA75IQG4ZQG,not,not,not,not,not,not,not,not,not,not
264,RMAT8G9GEYIZE,not,not,not,not,not,not,not,not,not,not
265,R1H5JUSRZG485A,not,not,not,not,not,not,not,not,not,not
266,R34GHAQZRD2SD7,not,not,not,not,not,not,not,not,not,not
267,RZFSV4WHIMQ85,not,in,in,not,not,not,not,in,not,not
268,R24IZA70V6QE4T,not,not,not,not,not,not,not,not,not,not
269,R3GZ6Z3OI9F8GN,not,not,not,not,not,not,not,not,not,not
270,R3LOPYN3ULKLD7,not,not,not,not,not,not,not,not,not,not
271,R3F0BUMWSHCJXS,not,not,not,not,not,not,not,not,not,not
272,R3Q7UX32O94W9I,not,not,not,not,not,not,not,not,not,not
273,R2ZWNIT292DMLK,not,not,not,not,not,not,not,not,not,not
274,RNEAT8MO5S0PU,not,not,not,not,not,not,not,not,not,not
275,R3HI59KTCW7OYI,not,not,not,not,not,not,not,not,not,not
276,R1CK430MSOULN4,not,not,not,not,not,not,not,not,not,not
277,R2411A5KGDBDSJ,not,not,not,not,not,not,not,not,not,not
278,R1UOBUWUI9IH54,not,in,not,not,not,not,not,not,not,not
279,RA1JZ2V7PGG5H,not,in,not,not,not,not,not,not,not,not
280,R197FO0RGOQNHO,not,not,not,not,not,not,not,not,not,not
281,R2SVQRY5SORYTL,not,not,not,not,in,not,not,not,not,not
282,R1C3598425H49E,not,not,not,not,not,not,not,not,not,not
283,R1HK8JFZWZRRAN,not,not,not,not,not,not,not,not,not,not
284,RSPGIOT7L7NGP,not,not,not,not,not,not,not,not,not,not
285,RNQSMDPJGBEGJ,not,not,not,not,not,not,not,not,not,not
286,R1X66YYZHPN0WL,not,not,not,not,not,not,not,not,not,not
287,R3TOVS78B12LKJ,not,not,in,in,not,not,not,not,not,not
288,RCRFOM2V6S8NI,not,not,not,not,not,not,not,not,not,not
289,RGYUK4VN87AR8,not,not,not,in,not,not,not,not,not,not
290,R390UOC8YT8VAT,not,not,not,not,not,not,not,not,not,not
291,R17JQIGBPUE27J,not,not,not,in,not,not,not,not,not,not
292,R26XFG8COBT989,not,not,not,not,in,not,not,not,not,not
293,RIQQ9UHMS5WLQ,not,not,not,not,not,not,not,not,not,not
294,R3LCJMAWNVEO8M,not,not,not,not,not,not,not,not,not,not
295,R4991O1JO1AQY,not,in,not,not,not,not,not,not,not,not
296,RT0N21DSHAMK6,not,not,not,not,not,not,not,not,not,not
297,R29E2PH0AAHWA9,not,in,not,not,not,not,not,not,not,not
298,RDRTJCS9V08CF,not,not,in,not,not,not,not,not,not,not
299,RR5EHSP7GVZD6,not,in,not,not,not,not,not,not,not,not
300,R1DU1OJVV5IAL2,not,not,not,not,not,not,not,not,not,not
301,RBYG2NJ9MZ5UX,not,not,in,not,not,not,not,not,not,not
302,R16SXYJLPWW94F,not,not,not,in,not,in,not,not,not,not
303,R38AS7XJB7A1PI,not,not,not,not,not,not,not,not,not,not
304,R1OPDEMNGX8154,not,not,not,not,not,not,not,not,not,not
305,R2TXNQUGXJIUX6,not,not,not,not,not,not,not,not,not,not
306,R17K8Y2JHVYB1U,not,not,not,not,not,not,not,not,not,not
307,R2JC0TERDDT0UU,not,not,in,not,not,not,not,not,not,not
308,R15SNJ8GT8EJYO,not,not,not,not,not,not,not,not,not,not
309,RM937Z4TWP4C4,not,not,not,not,not,not,not,not,not,not
310,R1HMFY39T7W1M8,not,not,not,not,not,not,not,not,in,not
311,R30J8Y0YRYGIMK,not,not,not,not,not,not,not,not,not,not
312,R2U2P4JZNO00T6,not,not,not,not,not,not,not,not,not,not
313,RV7C12B382IS,not,in,not,not,in,not,not,not,not,not
314,R2RE6O9SCATQAQ,not,not,not,in,not,not,not,not,not,not
315,R35S9A8XWEVBAF,not,in,not,not,not,not,not,not,not,not
316,R20D0XMNZYY1A2,not,not,not,not,not,not,not,not,not,not
317,R2V7C2AAYMGYCW,not,not,not,not,not,not,not,not,not,not
318,R31AOW2SD4WPFM,not,not,not,not,not,not,not,not,not,not
319,R3L36UE4NU8BPX,not,not,not,not,not,not,not,not,not,not
320,R1NJ7BTSAAU4L7,not,in,not,not,not,not,not,not,not,not
321,R2MM0U97J64S3Z,not,not,not,not,not,not,not,not,not,not
322,R3H3I6G9YP3ZX6,not,not,not,in,not,not,not,not,not,not
323,R1QE5SKKIW9JIJ,not,not,not,not,not,not,not,not,not,not
324,R2QRTIPDJY4LX0,not,not,not,not,not,not,not,not,not,not
325,R36GVO8KWSP973,not,not,in,not,not,not,not,not,not,not
326,R39BJCX12A19MO,not,not,not,not,not,not,not,not,not,not
327,R2XGBJOARLHZ44,not,not,not,not,not,not,not,not,not,not
328,R271YVALK7P4XN,not,not,not,not,not,not,not,not,not,not
329,R3JYQMOLT4JI7R,not,not,not,not,not,not,not,not,not,not
330,R22A5YRDXMZN9F,not,not,not,not,not,not,not,not,not,not
331,R2BD5EN7U9822D,not,in,not,not,not,not,not,not,not,not
332,R1I2H7G4RQHKXY,not,not,not,not,not,not,not,not,not,not
333,R2V6OUI6TTL86E,not,not,not,not,not,not,not,not,not,not
334,R3B438I5X4ECK5,not,not,not,not,not,not,not,not,not,not
335,R2C5LB62ZS98XG,not,not,not,not,not,not,not,not,not,not
336,RGZT8VTE4F3GI,not,not,not,not,not,not,not,not,not,not
337,R11MAVQ8S9IW29,not,not,not,not,not,not,not,not,not,not
338,RFTG1VQQFDPYK,not,not,not,not,not,not,not,not,not,not
339,R2VILUANTZ1ATY,in,not,not,not,not,not,not,not,not,not
340,R1BKBTRGUU6XRY,not,not,not,not,not,not,not,not,not,not
341,R3ELY165URG1JW,not,not,not,in,not,not,not,not,not,not
342,ROGXRUD08JBUL,not,not,not,not,not,not,not,not,not,not
343,R3JQUP6OX3E6GU,not,not,not,not,not,not,not,not,not,not
344,R3I13FSMLV1H11,not,not,not,not,in,not,not,not,not,not
345,R1TXS8HU3DVDNP,not,not,not,not,not,not,not,not,not,not
346,R3JPSKGC51TJ99,not,not,not,not,not,not,not,not,not,not
347,RI1O3GIOFQTUM,not,not,not,not,not,not,not,not,not,not
348,R23OUNBGLMLM9K,not,in,not,not,not,not,not,not,not,not
349,R1NGJTRYLH8GJX,not,not,not,not,not,not,not,not,not,not
350,RONO8O7RUZSWZ,not,not,not,not,not,not,not,not,not,in
351,R1SZBT9LTC3OQ9,not,in,not,not,not,not,not,not,not,not
352,R19KQ54WGV3123,not,not,not,not,not,not,not,not,not,not
353,R3SKKMERP2FSM5,not,not,not,not,not,not,not,not,not,not
354,RPW3MASJB8TPW,not,not,in,not,not,not,not,not,not,not
355,R2PPDVHPFFS9HG,not,in,not,not,not,not,not,not,not,not
356,R1HND9LLFLICE3,not,not,not,not,not,not,not,not,not,not
357,R2Y8I5G2CPLVRJ,not,not,not,not,not,not,not,not,not,not
358,r7yiyhzgmz341,not,not,not,not,not,not,not,not,not,not
359,r3jf253xo6qega,not,not,not,not,not,not,not,not,not,not
360,R3PLY2ZOB5EXK7,not,not,not,not,not,not,not,not,not,not
361,R36NN3U74L9UPA,not,not,not,not,not,not,not,not,not,not
362,R3UK4164FZF2M6,not,in,in,in,not,not,not,not,not,not
363,R2RCM67QCUH96,not,not,not,not,not,not,not,not,not,not
364,R2AXOVTV9MVHK9,not,not,not,not,not,not,not,not,not,not
365,R8QSEJ6746FBI,not,not,in,not,not,not,not,not,not,not
366,R1L1FY1YV165FX,not,not,in,not,not,not,not,not,not,not
367,RXOJ1VDCO9MR,not,not,not,not,not,not,not,not,not,not
368,R3G102GH42T752,not,in,not,not,not,not,not,not,not,not
369,R597BJ5UKAOQJ,not,not,not,not,not,in,not,not,not,not
370,R7I08XM7W4R4Z,not,not,not,not,not,not,not,not,not,not
371,R2ZQ904YHZABI9,not,not,not,not,not,not,not,not,not,not
372,R2LG562SDE07JT,not,not,not,not,not,not,not,not,not,not
373,R1SSU81JTBL1Y8,not,not,not,not,not,not,not,not,not,not
374,R3Q15CNRAYU5A6,not,not,not,not,not,not,not,not,not,not
375,R3RENA55ZA3RP5,not,in,not,not,not,not,not,not,not,not
376,R1JF8CTBF3ELAT,not,not,not,not,not,not,not,not,not,not
377,RNRZWK8GDJ0L2,not,not,not,not,not,not,not,not,not,not
378,R2H3K584HE3T7Q,not,not,in,not,not,not,not,not,not,not
379,R27S8TPPMWVACM,not,not,not,not,not,not,not,not,not,not
380,RY2GYY1OU6U2W,not,not,not,not,not,not,not,not,not,not
381,R3OQV12346EWQP,not,not,in,not,not,not,not,not,not,not
382,R2T8K0QGKLT1TT,not,not,not,not,not,not,not,not,not,not
383,R365JG618IVVOB,not,not,not,not,not,not,not,not,not,not
384,RPC39D5GPU6YV,not,not,not,not,not,not,not,not,not,not
385,ROSCH80LW48B2,not,not,not,not,not,not,not,not,not,not
386,R3SHOF2GESYLV,not,not,not,in,not,not,not,not,not,not
