,word,count,compound
334,stop,1,-0.296
335,apart,65,0.0
336,gender-normative,1,0.0
337,acceptable,3,0.3182
338,like,17,0.3612
339,ps,1,0.0
340,free<br,1,0.0
341,definitively,2,0.0
342,styled,1,0.0
343,retail,10,0.0
344,scrawny,1,0.0
345,wide,24,0.0
346,compartment,1,0.0
347,orioles,1,0.0
348,neqborn,1,0.0
349,medical-grade,2,0.0
350,nephew...ect,1,0.0
351,isolated,1,-0.3182
352,inaccurate,2,0.0
353,"adorable,as",1,0.0
354,whatever,2,0.0
355,all-silicone,1,0.0
356,boy,23,0.0
357,adequately,1,0.0
358,reasonably,7,0.0
359,pacifier/animal,1,0.0
360,sam,1,0.0
361,practically,9,0.0
362,holders..<br,1,0.0
363,neither,3,0.0
364,impossible,39,0.0
365,practical,26,0.0
366,strict,1,0.0
367,ready-to-eat,1,0.0
368,become,1,0.0
369,"much,i",1,0.0
370,orjinal,1,0.0
371,untoward,1,0.0
372,loose,28,-0.3182
373,ridiculious,1,0.0
374,mkouch,1,0.0
375,spare.<br,1,0.0
376,alternative,5,0.0
377,tommy,1,0.0
378,elaborate,1,0.0
379,sensitve,1,0.0
380,willy,1,0.0
381,unnecessary).<br,1,0.0
382,unwed,1,0.0
383,harsh,1,-0.4404
384,amazon.com<br,1,0.0
385,anti,1,-0.3182
386,earlier,1,0.0
387,dislodged,1,0.0
388,man<br,1,0.0
389,spacious,1,0.0
390,solidly,3,0.0
391,wash,7,0.0
392,"cute,but",1,0.0
393,avid,4,0.296
394,authentic,5,0.0
395,durable.one,1,0.0
396,nifty,2,0.4019
397,dirty/sticky,1,0.0
398,strategically,1,0.0
399,everyone's,2,0.0
400,silent,1,0.0
401,crammed,1,0.0
402,lemony,1,0.0
403,night...no,1,0.0
404,christmas,1,0.0
405,put,3,0.0
406,british,1,0.0
407,months).<br,1,0.0
408,tide,1,0.0
409,boring,2,-0.3182
410,cute,869,0.4588
411,girl's,2,0.0
412,yes,21,0.4019
413,breast-like,1,0.0
414,ambitious,1,0.4767
415,grip,1,0.0
416,worth,85,0.2263
417,tiene,1,0.0
418,personal,15,0.0
419,dipped,1,0.0
420,intentionally,1,0.0
421,ducky,5,0.0
422,calming,2,0.4019
423,alittle,3,0.0
424,wubbanub-type,1,0.0
425,non-orthodontic,2,0.0
426,before,11,0.0
427,quickly.<br,1,0.0
428,steadily,1,0.0
429,delirious,1,0.0
430,thing.<br,1,0.0
431,promised,1,0.3612
432,impressed,18,0.4767
433,semi-soft,1,0.0
434,eagles.<br,1,0.0
435,"as,a",1,0.0
436,gear,2,0.0
437,select,2,0.0
438,tiger...our,1,0.0
439,c'mon,1,0.0
440,sever,3,0.0
441,tug-of-war,1,0.0
442,fine.but,1,0.0
443,"cutie,just",1,0.0
444,public,11,0.0
445,catepillar,1,0.0
446,eachother,1,0.0
447,models.<br,1,0.0
448,pouch,9,0.0
449,outfit,1,0.0
450,bag,4,0.0
451,blah,4,-0.1027
452,exclusively,41,0.0
453,ultimate,1,0.0
454,fairly,17,0.0
455,odvious,1,0.0
456,minor,6,0.0
457,pan,1,0.0
458,left,1,0.0
459,oddly,6,0.0
460,neice,2,0.0
461,icky,1,0.0
462,bite-proof.<br,1,0.0
463,plant-based,1,0.0
464,wipable,1,0.0
465,rested,1,0.0
466,use.<br,2,0.0
467,somehow....whoever,1,0.0
468,inside,14,0.0
469,contoured,3,0.0
470,awesome,120,0.6249
471,vanilla,4,0.0
472,digital,1,0.0
473,pink/purple,3,0.0
474,organic,3,0.0
475,plush,15,0.0
476,pad,1,0.0
477,bubble,2,0.0
478,obsessive,1,-0.2263
479,capable,2,0.3818
480,beautifully,5,0.5719
481,blank,1,0.0
482,uk,1,0.0
483,elphant,1,0.0
484,gray,8,0.0
485,bo-bo,1,0.0
486,subtle,2,0.0
487,carefully,8,0.128
488,anytime,3,0.0
489,paranoid,1,-0.25
490,found...we've,1,0.0
491,o,3,0.0
492,precious,20,0.5719
493,sooo,4,0.0
494,jealousy,1,-0.3182
495,sterilizer.<br,1,0.0
496,semi-hard,1,0.0
497,ok!<br,1,0.0
498,thoughtful.<br,1,0.0
499,only,1817,0.0
500,anymore,42,0.0
501,ergonomically,1,0.0
502,yucky,1,-0.4215
503,crystal,2,0.0
504,cold,13,0.0
505,you’re,1,0.0
506,sooooooooo,1,0.0
507,primary,2,0.0
508,tuesday,3,0.0
509,beware,1,0.0
510,low-quality-looking,1,0.0
511,distinct,2,0.0
512,finally,72,0.0
513,arrival,1,0.0
514,maybe,112,0.0
515,ingenious,10,0.0
516,guy,20,0.0
517,truly,27,0.4404
518,plushie,1,0.0
519,replaceable/interchangeable,1,0.0
520,modest,1,0.0
521,thay,1,0.0
522,long-gone,1,0.0
523,intermittently.<br,1,0.0
524,smelly,3,0.0
525,bite-proof,1,0.0
526,tradintional,1,0.0
527,non-scented,2,0.0
528,occupied,2,0.0
529,simple,32,0.0
530,paci-loving,1,0.0
531,litle,2,0.0
532,green,138,0.0
533,i'l,1,0.0
534,glow-in-the-dark.....awesome,1,0.0
535,fast.<br,4,0.0
536,shaped,17,0.0
537,self-weaning,1,0.0
538,separately,11,0.0
539,extended,1,0.0
540,lovey...we,1,0.0
541,comfortably,8,0.4215
542,lovely,13,0.5859
543,old-school,1,0.0
544,read,1,0.0
545,endless,4,0.0
546,not-quite-ready-to-teeth,1,0.0
547,level,1,0.0
548,august,1,0.0
549,dimly,1,0.0
550,use...also,1,0.0
551,loosely,2,0.0
552,aggressive,1,-0.1531
553,wrinkly,1,0.0
554,excite,1,0.4767
555,advance,1,0.0
556,slimey,2,0.0
557,pink/purple/blue/green,1,0.0
558,it'd,4,0.0
559,constantly,97,0.0
560,opaque,1,0.0
561,it...hwill,1,0.0
562,son's,64,0.0
563,cause-effect,1,0.0
564,purpose,4,0.0
565,high-tech,1,0.0
566,sparkling,1,0.296
567,chic,1,0.2732
568,admittedly,1,0.0
569,convinient,1,0.0
570,realistically,3,0.0
571,fortunately,8,0.0
572,multi-color,1,0.0
573,self-esteem,1,0.0
574,festive,2,0.4588
575,out,46,0.0
576,god-son,1,0.0
577,uses,1,0.0
578,pediatric,3,0.0
579,moho,1,0.0
580,child's,9,0.0
581,x-ray,1,0.0
582,charm,1,0.4019
583,nap,25,0.0
584,shocked,1,-0.3182
585,cowboys..some,1,0.0
586,sure,333,0.3182
587,upcoming,1,0.0
588,harmless,1,0.25
589,fore-warned,1,0.0
590,it.pretty,1,0.0
591,comfy,1,0.0
592,fantastically,2,0.0
593,us.<br,2,0.0
594,mini,2,0.0
595,moist,1,0.0
596,weren't,1,0.0
597,unshared,1,0.0
598,space.<br,1,0.0
599,lovey,4,0.0
600,stupid,4,-0.5267
601,it!<br,6,0.0
602,firmly,4,0.0
603,faint,2,0.0
604,not...a,1,0.0
605,till,3,0.0
606,outdoor,1,0.0
607,cover,2,0.0
608,outward,1,0.0
609,firstborn's,1,0.0
610,wear,11,0.0
611,nns,1,0.0
612,perfect.<br,1,0.0
613,similar-looking,1,0.0
614,impractical,1,0.0
615,clouds,1,0.0
616,cheap-feeling,1,0.0
617,nightmares)<br,1,0.0
618,s,4,0.0
619,free.<br,1,0.0
620,plastic-y,1,0.0
621,nephew,30,0.0
622,go..my,1,0.0
623,fury,1,-0.5719
624,obscenely,1,0.0
625,dramatic,1,0.0
626,second,179,0.0
627,couldn't,13,0.0
628,skittle.<br,1,0.0
629,human,10,0.0
630,decent,14,0.0
631,snugly,2,0.0
632,brilliant,13,0.5859
633,aaa,1,0.0
634,easy,856,0.4404
635,glossy,2,0.0
636,pacifier-like,1,0.0
637,god-forseen,1,0.0
638,for<br,1,0.0
639,create,1,0.2732
640,rem,1,0.0
641,terrific,4,0.4767
642,miss,4,-0.1531
643,night.<br,2,0.0
644,squishing,1,0.0
645,contstantly,1,0.0
646,understand,5,0.0
647,costumer,1,0.0
648,few,360,0.0
649,acutaly,1,0.0
650,choice.<br,1,0.0
651,nipple-side-up,1,0.0
652,clinically,1,0.0
653,weigh,1,0.0
654,gummy,1,0.0
655,forehead,2,0.0
656,specific,18,0.0
657,exceedingly,1,0.0
658,measured,1,0.0
659,textured,3,0.0
660,nice.<br,2,0.0
661,it.funny,1,0.0
662,chapped,1,0.0
663,collapsible,1,0.0
664,floral,2,0.0
665,moms-to-be,1,0.0
666,edgy,2,0.0
667,original,49,0.3182
668,naptime,1,0.0
669,sterilizable,1,0.0
670,olds's,1,0.0
671,amazing!<br,1,0.0
672,hopeful,4,0.5106
673,breathable,3,0.0
674,combined,1,0.0
675,lb,1,0.0
676,favourite,4,0.0
677,dad,1,0.0
678,unfortunatly,1,0.0
679,shop,1,0.0
680,again(luckily,1,0.0
681,extensive,2,0.0
682,painful,1,-0.4404
683,florida,1,0.0
684,co-ordinate,1,0.0
685,given..funny,1,0.0
686,scramble,2,0.0
687,sturdy.<br,1,0.0
688,irritable,1,-0.4767
689,australia,1,0.0
690,daily,33,0.0
691,around,84,0.0
692,self-sterilising,1,0.0
693,she's,56,0.0
694,tomme,3,0.0
695,ever,254,0.0
696,distracted,2,-0.34
697,them)<br,1,0.0
698,odd,18,-0.3182
699,cheesy,1,0.0
700,leave,5,-0.0516
701,twin's,1,0.0
702,we'd,8,0.0
703,yankee,1,0.0
704,hoodie,1,0.0
705,newborn-size,1,0.0
706,qualitty,1,0.0
707,sanitizing,1,0.0
708,whenever,1,0.0
709,main,16,0.0
710,periodically,3,0.0
711,broken.it,1,0.0
712,clearish,2,0.0
713,mindlessly,1,0.0
714,one-piece,9,0.0
715,hilarious,42,0.4019
716,virtually,3,0.0
717,away...a,1,0.0
718,physical,1,0.0
719,sterilized!<br,1,0.0
720,legally,1,0.1027
721,arms-swinging-wildly,1,0.0
722,apart....my,1,0.0
723,macgyvered,1,0.0
724,bumped,1,0.0
725,niece's,1,0.0
726,obligation.<br,1,0.0
727,hilarous,2,0.0
728,boiling,2,0.0
729,believe,1,0.0
730,needless,6,0.0
731,neighbor's,2,0.0
732,permanent,4,0.0
733,differently,12,0.0
734,reflex,2,0.0
735,gimic,1,0.0
736,laden,1,0.0
737,ur,2,0.0
738,sadly,24,-0.4215
739,matter,1,0.0258
740,first.<br,2,0.0
741,persistent,1,0.0
742,son,10,0.0
743,ours,7,0.0
744,descent,1,0.0
745,in-flight,1,0.0
746,usa,4,0.0
747,himself-too,2,0.0
748,chubby,3,0.0
749,pink...so,1,0.0
750,premature,2,0.0
751,nipples,1,0.0
752,less-than,1,0.0
753,excelent,8,0.0
754,guy.<br,1,0.0
755,wont,9,0.0
756,que,2,0.0
757,i’m,1,0.0
758,ecstatic,2,0.5106
759,perhaps,19,0.0
760,magic,6,0.0
761,proportional,1,0.0
762,bother,3,-0.34
763,you.wonderful,1,0.0
764,these-and,1,0.0
765,one's,14,0.0
766,unflavored,1,0.0
767,squished,1,0.0
768,inseparable,2,0.0
769,plenty,3,0.0
770,rubbery,3,0.0
771,til,5,0.0
772,ultimately,8,0.0
773,meh,1,-0.0772
774,wrong,68,-0.4767
775,rip,1,0.0
776,instant,7,0.0
777,burp,2,0.0
778,straight,25,0.2263
779,pacifier-loving,1,0.0
780,bean-bag,1,0.0
781,male,3,0.0
782,front,16,0.0
783,passifier,1,0.0
784,amazin,1,0.0
785,last-minute,1,0.0
786,ralph,1,0.0
787,list.<br,3,0.0
788,meterial,1,0.0
789,registered,1,0.0
790,paci<br,1,0.0
791,unibody,1,0.0
792,fun,37,0.5106
793,stepsister's,1,0.0
794,deep<br,1,0.0
795,noticeably,1,0.0
796,sister's,2,0.0
797,furthermore,1,0.0
798,nostril,1,0.0
799,grand,55,0.4588
800,stupid)<br,1,0.0
801,fifteen,1,0.0
802,slender,1,0.0
803,littke,1,0.0
804,bangin,1,0.0
805,short,56,0.0
806,sweet,31,0.4588
807,greedy,1,-0.3182
808,naturally,8,0.0
809,choking,4,-0.4588
810,there,144,0.0
811,ahead,11,0.0
812,non-latex,1,0.0
813,womb,3,0.0
814,contently,2,0.0
815,mall,1,0.0
816,goodness,1,0.4588
817,far,217,0.0
818,daddy-to-be,2,0.0
819,crown,1,0.0
820,fine...until,1,0.0
821,it;s,1,0.0
822,darn,12,0.0
823,sonny,1,0.0
824,zac's,1,0.0
825,voluntarily,1,0.0
826,wobble,1,0.0
827,ready,41,0.3612
828,grungy,1,0.0
829,rowan,1,0.0
830,flowered,1,0.0
831,bitty,1,0.0
832,inward,1,0.0
833,desperate,11,-0.3182
834,cumbersome,1,0.0
835,accidentally,22,-0.34
836,ten,5,0.0
837,handy.they,1,0.0
838,perfectly,74,0.6369
839,babe,1,0.0
840,inlove,1,0.0
841,"all,too",1,0.0
842,flop,1,-0.34
843,lightning,1,0.0
844,gimmicky,2,0.0
845,rubber,8,0.0
846,specified,1,0.0
847,ones.<br,2,0.0
848,completely,75,0.0
849,eventually,32,0.0
850,free-flow,1,0.0
851,soothie'.<br,1,0.0
852,intended,2,0.0
853,less…,1,0.0
854,independent,1,0.0
855,bacteria.<br,1,0.0
856,toy)<br,1,0.0
857,pale,3,0.0
858,small,337,0.0
859,minimum,1,0.0
860,some<br,1,0.0
861,gumdrop,2,0.0
862,sudsy,1,0.0
863,overboard,1,0.0
864,shes,1,0.0
865,bothersome,1,-0.3182
866,delicious,1,0.5719
867,regret,1,-0.4215
868,side.<br,1,0.0
869,surprised,10,0.2263
870,padded,1,0.0
871,bum,1,0.0
872,nervous,6,-0.2732
873,all...it's,3,0.0
874,full-term,6,0.0
875,seperately,1,0.0
876,stir,1,0.0
877,reeeeally,1,0.0
878,purple,40,0.0
879,ridiculously,3,-0.34
880,frog,10,0.0
881,directly,11,0.0
882,exited,1,0.0
883,fo,1,0.0
884,old...they,1,0.0
885,thereafter,1,0.0
886,cute-factor,1,0.0
887,hilariously,1,0.0
888,phalate,1,0.0
889,pink.<br,1,0.0
890,tumble,1,0.0
891,product--strongly,1,0.0
892,go-to,17,0.0
893,super-fast,1,0.0
894,weirdo,1,-0.4215
895,kodiak,1,0.0
896,suckerfish,2,0.0
897,direct,5,0.0
898,carinal,1,0.0
899,ment,1,0.0
900,verydurable,1,0.0
901,lot.<br,4,0.0
902,kitty's,1,0.0
903,drasted,1,0.0
904,prodly,1,0.0
905,clean.<br,2,0.0
906,totaly,1,0.0
907,niece...i'm,1,0.0
908,flailing,1,0.0
909,internally,1,0.0
910,bet,1,0.0
911,speedy,2,0.0
912,belly,9,0.0
913,child,9,0.0
914,boy-ish,1,0.0
915,them..so,1,0.0
916,sanitary,17,0.0
917,helpful,49,0.4215
918,ny,2,0.0
919,oxiclean,1,0.0
920,occasional,2,0.0
921,them...i,1,0.0
922,perfect...<br,1,0.0
923,laundry,7,0.0
924,take<br,1,0.0
925,various,23,0.0
926,glow,26,0.0
927,girl,42,0.0
928,perfects<br,1,0.0
929,it'll,5,0.0
930,drooly,1,0.0
931,thorough,1,0.0
932,rapidly,4,0.0
933,untested,1,0.0
934,solid,36,0.1531
935,jokingly,1,0.0
936,mouth,36,0.0
937,sewn,16,0.0
938,stable,3,0.296
939,bunny,3,0.0
940,third-string,1,0.0
941,wubbanubs,17,0.0
942,efficiently,1,0.4019
943,transparent,8,0.0
944,faster/better,1,0.0
945,professionally,1,0.0
946,ever.<br,1,0.0
947,much.<br,1,0.0
948,absolute,17,0.0
949,perfectely,1,0.0
950,creepy,2,0.0
951,large,79,0.0
952,vivid,1,0.0
953,skeptic,2,-0.2263
954,nice<br,1,0.0
955,longhorn,12,0.0
956,fox,1,0.0
957,eneloop,1,0.0
958,dreaded,2,-0.5719
959,mess,1,-0.3612
960,symmetrically,1,0.0
961,seconds!<br,1,0.0
962,suga,1,0.0
963,fractious,1,0.0
964,pacifier.especially,1,0.0
965,everynight,1,0.0
966,mail.<br,1,0.0
967,abrasive,1,0.0
968,usually,87,0.0
969,lol,2,0.4215
970,there're,1,0.0
971,monthly,1,0.0
972,facial,3,0.0
973,company…,1,0.0
974,mesh,17,0.0
975,joyful,1,0.5994
976,sister,7,0.0
977,it‘s,2,0.0
978,bouncy,1,0.0
979,bob,5,0.0
980,next,91,0.0
981,early,63,0.0
982,innocent,1,0.34
983,striped,2,0.0
984,slick,3,0.0
985,nursing<br,1,0.0
986,four-month,2,0.0
987,absorb,1,0.0
988,tilted,1,0.0
989,subjective,1,0.0
990,tummy,1,0.0
991,website,2,0.0
992,commonly,2,0.0
993,muchly,1,0.0
994,mindful,1,0.0
995,lifetime.<br,1,0.0
996,vented,1,0.0
997,if/when,1,0.0
998,cool...maybe,1,0.0
999,vere,1,0.0
1000,dr,21,0.0
1001,easily.<br,1,0.0
1002,unscented,7,0.0
1003,formula<br,1,0.0
1004,clip-based,1,0.0
1005,"personalized,although",1,0.0
1006,sterilized,1,0.0
1007,dropped,7,0.0
1008,dangerous,13,-0.4767
1009,a.m,1,0.0
1010,orthodontic,97,0.0
1011,patriots,1,0.0
1012,affordable,12,0.0
1013,shock,1,-0.3818
1014,overall,65,0.0
1015,prior,17,0.0
1016,latex,16,0.0
1017,poly,2,0.0
1018,stars.<br,1,0.0
1019,unsealed,1,0.0
1020,magically,3,0.0
1021,pure,4,0.0
1022,unimpressed,1,-0.34
1023,already,133,0.0
1024,newborn...and,1,0.0
1025,update!<br,1,0.0
1026,detached,1,-0.128
1027,looks,2,0.0
1028,semi-annoying,1,0.0
1029,torn,1,-0.25
1030,the<br,1,0.0
1031,guy's,1,0.0
1032,weak,7,-0.4404
1033,bendable,3,0.0
1034,satisfying,2,0.4588
1035,continually,3,0.0
1036,vs,2,0.0
1037,baby.<br,1,0.0
1038,unfortunately，it,1,0.0
1039,safer,1,0.4215
1040,unseen,1,0.0
1041,squealing,1,0.0
1042,sippy,4,0.0
1043,nowhere,7,0.0
1044,non-toxic,2,0.0
1045,buy.<br,1,0.0
1046,binasal,1,0.0
1047,smooth,12,0.0
1048,unsanitary,3,0.0
1049,woo,1,0.4767
1050,catchin,1,0.0
1051,open,55,0.0
1052,trivial,1,-0.0258
1053,nubi,1,0.0
1054,painfully,1,-0.5267
1055,sized,6,0.0
1056,sheep,2,0.0
1057,in.<br,1,0.0
1058,saver,2,0.0
1059,busy,12,0.0
1060,lightweight,29,0.0
1061,tremendously,1,0.0
1062,nappy,1,0.0
1063,different...she,1,0.0
1064,disastrous,1,-0.5994
1065,dip,1,0.0
1066,peanut,1,0.0
1067,this...i,1,0.0
1068,neonatal,1,0.0
1069,tricky,7,-0.1531
1070,use...interestingly,1,0.0
1071,deere,4,0.0
1072,else.<br,3,0.0
1073,uv,3,0.0
1074,very.much,1,0.0
1075,friendly,14,0.4939
1076,isn't,22,0.0
1077,newborns...that,1,0.0
1078,thusly,1,0.0
1079,prematurely,1,0.0
1080,washable/sanitizable,1,0.0
1081,dragon,2,0.0
1082,hollow,7,0.0
1083,month-old,5,0.0
1084,many.<br,1,0.0
1085,good-sized,1,0.0
1086,brazil,1,0.0
1087,desperate...until,1,0.0
1088,expectant,3,0.0
1089,silky,2,0.0
1090,bean,4,0.0
1091,doesnt,2,0.0
1092,futile,1,-0.4404
1093,high,89,0.0
1094,ı,1,0.0
1095,unnatural,1,0.0
1096,pluggie,1,0.0
1097,indeed,9,0.0
1098,dust,2,0.0
1099,pap-paps,2,0.0
1100,blue/green,1,0.0
1101,smoothly,3,0.0
1102,cool...so,1,0.0
1103,prob,1,0.0
1104,jollypop,1,0.0
1105,keep-it-kleen,4,0.0
1106,breast,14,0.0
1107,blur,1,0.0
1108,relaxing,1,0.4939
1109,odorless,1,0.0
1110,awesomely,1,0.0
1111,easiest,1,0.4215
