,review_id,star_rating,review_headline_clean,review_body_clean,compound,neg,neu,pos
45,R20ZGQIMYDIS4H,5,great hair dryer,powerful lot fan setting cold air button best retractable cord like fold handle travel too.great product blow hair dry blow quick appointment,0.8957,0.0,0.604,0.396
46,R17M5MZ51QMVCK,3,good,far good,0.4404,0.0,0.256,0.744
47,R3F0HVXSBUC4ZA,1,annoy deal,cold button stick use replace annoy deal,-0.4404,0.326,0.674,0.0
48,RVQC05SNQCV7U,1,piece crap,broke third time use piece crap,-0.6597,0.574,0.426,0.0
49,R2CNQVPGS12Q9U,5,five star,powerful dry hair quickly,0.4215,0.0,0.517,0.483
50,R2DCN3LVLN029S,3,three star,end pink expect,0.0,0.0,1.0,0.0
51,R2AVR4LDQJ9ZC3,5,really nice feature blower dryer,nice hair blow dryer color lovely medium shade pink matte tone versus plastic look shiny one dryer come diffuser work well curly hair unusual type soft touch finish feel slippery fit well hand finish seem fit little snug others before.<br br air filter removable sure clean week destroy blow dryer cleaning filter overheats motor kill pretty quickly along diffuser narrow concentrator attachment work really well need put heat precise spot three heat setting two speed also cool shot button get air cool quickly styling.<br br interesting thing blow dryer apart finish much quiet others first think meant powerful case work well loud,0.9826,0.061,0.615,0.324
52,R3U2Q8FK78NL25,5,happy product,product describe super fast delivery,0.5994,0.0,0.506,0.494
53,R1VR5BNNT6O42J,4,good price,good hair dry price find smell like burn high/hot use warm low fine needs.<br try salonsalon hair dryer friend house fabulous turn cost way budget one probably last year i'll probably buy another sassoon tourmaline ceramic help keep fly aways fly away,0.936,0.039,0.624,0.338
54,R1NRG8W14M4CLG,5,five star,great hair dryer load power feel like salon dryer,0.765,0.0,0.515,0.485
55,R3L5SKZ80SISVL,2,diffuser make curl frizzy,diffuser make curly hair really frizzy messy,-0.4173,0.317,0.683,0.0
56,R3TK7ALY9OX6AU,5,five star,cute stylish,0.4588,0.0,0.25,0.75
57,R14H2YRC78LPRI,3,hot powerful expect somehow,hot powerful expect somehow deliver kind expect shin usually produce professional ceramic dryer,0.7351,0.0,0.64,0.36
58,R325ASXFQ8D66J,2,disappointed packaging,product arrive open box cord push box look return arrived quickly work small easy travel,0.4404,0.0,0.828,0.172
59,RXTB7K8FZ2CUI,4,bad,bad dryer yes heavy sleek burn hair,-0.2023,0.312,0.446,0.241
60,R2SACSUOBNV12T,5,fine curly hair lot,i'm one write review think i'd product fine curly hair lot take good minute blow dry hair every day get tire felt like i'd try every hair dryer affordable store decide i'd try expensive salon one see that'd trick splurge bought buttercup dry bar hair dryer work well cut dry time minute honesty think worth come across john frieda hair dryer read good review decide i'd give shot plus much affordable dry bar well love take minute blow dry mane mine plus give extra shine end look dry also straighten hair well hair dryer i've cut flat iron time well con button place odd location weird hum get use real quick really bother much would definitely recommend product,0.9633,0.084,0.687,0.229
61,R2RBWYAKZAUX1M,5,simple yet long last,give hair dryer star amazingly simple!<br frill cool setting low high cool basic user-friendly hair dry action.<br tell thing last i've mine year work like day get it!<br favor unscrew back every clean lint filter wire mesh back,0.8888,0.044,0.671,0.285
62,R2B9QSQYIMD9IQ,5,mom love,buy girl keep buying another walmart bargain tell quieter say dry hair fast nice lightweight unit ergonomically design cleanable filter back nice feature,0.7506,0.0,0.73,0.27
63,R2CWOY8AIVXR78,5,five star,bang buck good good quality,0.7003,0.0,0.341,0.659
64,RH1COQMQTTTQK,3,dry thick wavy hair quickly thoroughly,i've own like blow drier time i'm good consistently use i'm lazy well also know harsh blow-drying hair particularly color like mine tend avoid every often winter find need dry hair quickly instead wait last hair dryer die blaze glory well actually less fizzled refuse turn pop vine selection select it.<br br remington hair dryer come attachment one diffuser look like alien product apparently use curly hair funnel appendage remind airplane wind tunnel curly hair bother diffuser really wish include take valuable drawer space test wind tunnel much like pretend wind tunnel miniature airplane would like know thing call really?).<br br love setting last hair dryer pretty much hi-lo hot-cold heat setting speed along cold blast set allow controlled drying experience find really dry thick wavy hair well another reason hate dry hair usually take minute dry relatively quickly wind tunnel also help ensure nice smooth straight hair way like style hair.<br br overall i'm impress pleased wish diffuser include need space take know curly hair may appreciate it.<br br update still like product since receive bio ionic vine like remington's cool burst far easily activate dry hair problem bio ionic therefore take away show this.<br br bring by:<br c.s light*y c.s light,0.9932,0.089,0.618,0.293
65,RGCXNOF41RJUV,4,work,less heat blow would better,0.4404,0.0,0.58,0.42
66,R27KFIYH6UN3Z9,1,one star,suddenly can't turn day ago,0.0,0.0,1.0,0.0
67,R2MAVSNJJ62S54,4,great hairdryer,great hairdryer affordable price delivery quick like package extra hair dry tip get email wishing little bit power cool blast big deal im please bought product replace old hairdryer take dry hair happy say cut time dry long hair leave hair smooth enough use ghd hair iron major downside quite noisy,0.8819,0.112,0.632,0.255
68,R1VTV0AKB52C9H,4,love hair dryer,love hair dryer available speed temperature perfect quiet hair dryer i've ever own drawback placement on-off switch locate bottom handle use two hand turn good design would reverse placement button could turn on/off easily thumb currently speed/temperature button easily reach thumb change often reason give five star nevertheless still highly recommend would buy,0.967,0.0,0.665,0.335
69,R1V4NOB6BPAQP7,5,great,dryer exactly want lightweight job,0.0772,0.0,0.755,0.245
70,RJRW0RDNSZ6I1,5,best dryer ever use,best dryer ever use quiet though really heavy big i'm use still bite unwieldy unpracticed hand dry thick coarse shoulder-length hair faster device ever use also leave hair notably silkier manageable dryer allure would seem offer benefit expensive professional tool surprisingly reasonable price hop hold time plan purchase another keep summer cottage,0.9081,0.02,0.773,0.207
71,R6TDV0VZY8MJ2,5,great product wife love,wife happy hair dryer full thick hair,0.5719,0.0,0.619,0.381
72,R19QC4I6XAFVRT,4,four star,far good,0.4404,0.0,0.256,0.744
73,R5QPK9FEGOJMS,2,two star,blow hole top would great side,0.7096,0.0,0.404,0.596
74,R3ATL80Z74M7OG,3,three star,never blow dryer tangle hair make limp get hair dry slowly,0.0,0.0,1.0,0.0
75,R7GF4Y91VF0QF,4,four star,good expect,0.4404,0.0,0.256,0.744
76,R2UB31YAU4O9TO,5,hot tool bonnet dryer compact good brand remember dryer hose click bonnet stay hook,third hot tool bonnet dryer year love highly recommend bonnet constantly unhook hose realize second dryer bonnet notch inside ring click keep connect bonnet dryer get heist setting keep low minute every five,0.7089,0.054,0.767,0.179
77,R1JPB4C7WUPASJ,5,quality good look,nice quality fairly quiet nice look big buy two,0.6808,0.0,0.556,0.444
78,R2O4W8PM98H3XE,5,five star,much worth,0.2263,0.0,0.345,0.655
79,RAKZYMW6TR3GS,3,quiet review say,hop quieter blow dryer definitely quieter dryer still quiet also read kind review say dry hair smooth silky thing make hair smooth silky product,0.7269,0.0,0.783,0.217
80,R1X47WDNBT4OHZ,1,dangerous shoot spark flame,year think good enough job use medium heat/blow setting always clean air intake screen first sign lint however recently throw spark actual flame first high pitch screech noise pop spark flame trash look good dryer funny mother dryer year modern stuff mass produce junk,0.9217,0.0,0.714,0.286
81,R1BHICCLA0TLA3,5,five star,best blow dryer purchase long time,0.6369,0.0,0.543,0.457
82,R22CALOXJCOQOZ,5,slightly small lighter predecessor quick dry fly-away hair,use old model remington hair dryer model hold well daily use year newer model light weight slightly small yet produce result old model.<br br remington say micro conditioner prevent heat damage increase hair shine also say ceramic technology prevents hair damage dry hair faster.<br br since use remington hair dryer daily hair untreated treat show hair damage split end dry/brittle fly-away whether attributable dryer hair product change started treat hair cannot say use shampoo conditioner every day dry hair every day.<br br dry time fast new model seem fast dry dry time pretty quick nonetheless use either attachment dryer come diffuser remington catch flak last model include diffuse directional blower standard plastic.<br br overall remington dryer work well dry well last number year follow previous model footstep happy feel result,0.9042,0.063,0.76,0.177
83,R3MUY94GYQOVXT,3,three star,need expensive transformer,0.0,0.0,1.0,0.0
84,RX4KK6EUQL2UU,5,five star,love compact amaze work,0.8271,0.0,0.206,0.794
85,R2XBF2DRY15JIU,5,happy purchase,great dry price notice strand shiny silky dryer dry quickly loud appreciate different heat speed setting barrel long dryer i've use hard grip control box nicely come diffuse attachment would recommend productif check picture other's review see luck smooth shiny hair gotten chance use much see result i've use texturing product also conducive smooth shiny hair,0.9517,0.02,0.698,0.282
86,R2NIAGVHHIJBYH,4,big heavy,small quite heavy work reall well really portable light enough travel dryer,0.2732,0.0,0.84,0.16
87,R3NYBF74UO3OLT,5,five star,good experience order,0.4404,0.0,0.408,0.592
88,R1PR84OBE7Q3KM,4,four star,dry hair fast,0.0,0.0,1.0,0.0
89,R1EESPDTO6C4EE,5,five star,great blow dryer,0.6249,0.0,0.328,0.672
90,R3PLPPJMD961Z0,5,great price great dryer,great price glad spend hundred like i've see others love,0.93,0.0,0.303,0.697
91,R8X1RMK5JDGKM,3,enjoy use begin,enjoy use begin month use get hot easily stop wait cool,0.6908,0.129,0.409,0.462
92,RIGRO8YAV5XL6,5,get salon feel home hot tool tourmaline stand hair dryer,purchase hot tool tourmaline ionic stand hair dryer great investment love purple black color two heat setting high low two speed setting high low on/off ionic knob adjustable pole great one person use also wheel easy roll around house much well hood dryer sit table find chair low enough could fit hood use dry weekly basis hood roomy flip front dry hair large roller problem get salon feel hair dryer home,0.9169,0.1,0.679,0.221
93,R1Q31WY7K8V9JI,1,well refund money recommend product,non work product west time energy well refund money recommend product,0.6908,0.0,0.544,0.456
94,R19CPR1IAL5XFP,5,best ever,best one,0.6369,0.0,0.192,0.808
95,R6SBBM9ZB8U9W,5,love,terrible review one could find thing want diffuser retractable cord fold handle figure price try i'm glad love understand negative review dry hair quickly curly hair look great,0.7003,0.164,0.531,0.304
96,RUYUENHPSLBUL,5,cut hair dry half,gotten rid hair dryer house try new one last one thrown year ago one work great wife daughter kinky curl hair take time dry hair product cut time half great strong firm hair dryer feel high end upon pick up(although affordable look price daughter take one bathroom love color purple let take possession one.<br br great hair dryer would expect see high end salon,0.9623,0.026,0.726,0.248
97,R2ULR8J582ZZ07,3,fairly decent cause frustration,hair dryer one fast dry hair dryer i've ever use also look sleek professional like come multiple attachment give best blow dry get.<br br issue particular hair dryer blow really hard even slow set air blow forcefully need precision dry use diffuser attachment otherwise hair get blow smithereens another problem rocker switch design i'm use rocker switch control handle easy push i'm regularly reset setting get annoying.<br br seem lasting pretty well i've use almost one year trouble performance hope last years.<br br overall hair dryer usable might cause frustration,0.9056,0.09,0.708,0.202
98,R1F9U7LHF7K0TZ,5,new favorite hair dryer,absolutely best hair dryer i've ever own hand love dryer freakin fast amazing come less week time pleased,0.9603,0.0,0.415,0.585
99,RHF4JD5B0L6D0,5,love,far good,0.4404,0.0,0.256,0.744
100,RJ4HTF6UC3JGC,1,overheat minute,heat minute return pay bubble rap send back amazon good luck want order online,0.7579,0.073,0.466,0.461
101,R1D72NF092PCWS,5,five star,nice quality,0.4215,0.0,0.263,0.737
102,RGVZGNOFRC020,4,four star,work great issue,0.6249,0.0,0.328,0.672
103,R1506FPZA7NAQR,2,two star,blow dryer less month heat element go,0.0,0.0,1.0,0.0
104,R187LAPCJM7V4J,1,purchase dry month ago,purchase dry month ago alway stay home one place occasionally use never move stand anymore plastic base legs break call customer service say warranty day,0.0,0.0,1.0,0.0
105,R36VT59GYKQGCS,5,five star,work great love,0.8519,0.0,0.108,0.892
106,R2MZ0FT53TI9TL,5,five star,thing still go almost year later,0.0,0.0,1.0,0.0
107,R207IJ21PGITYM,5,speed heat setting wonderful,speed heat setting wonderful get gross feeling like burn hair blow insanely like blow drier convenient storage,0.7269,0.123,0.474,0.403
108,R2CK11D0ILQMVU,4,four star,far good,0.4404,0.0,0.256,0.744
109,R399N16CXG9PT2,5,five star,nice quality,0.4215,0.0,0.263,0.737
110,R1PLCZJDZBCRD9,5,five star,work fine problem,-0.2263,0.491,0.182,0.327
111,R1YTXAE8T6UW7C,5,five star,excellent hair dryer,0.5719,0.0,0.351,0.649
112,R49CM7C5YRR97,5,best hair dryer,one best hair dryer probably ever find powerful dry hair quite quickly plus folding design make easy stash away addition relatively small take ton room suitcase win around,0.9287,0.0,0.637,0.363
113,R1XV1I003MONZH,5,perfect little dryer,love little hair dryer arthritis large dryer hard manipulate also short thin hair little dryer make easy use roll brush time recommend someone thicker hair heat strong powerful great,0.9592,0.033,0.512,0.455
114,R1H4LZNN7KLR95,5,color surprise,holy cow...maybe old dryer die week ago blow dry since say hot i'm lazy fancy summer wow thing work fast cute small pack punch,0.1027,0.193,0.602,0.205
115,R16USAHLLXL1G,4,four star,dryer really nice packaging could better,0.7178,0.0,0.4,0.6
116,R1V6FYMJU478XS,5,five star,cool speed perfect hair frizz dryness,0.7184,0.0,0.4,0.6
117,R1LACW8CHA9EFR,2,two star,warm setting can't use,0.2263,0.0,0.612,0.388
118,R3QA1QFU9S539H,4,wish little bit strong,wish little bit strong little bit hot trick thick thick hair blow dry skill subpar hand skilled person id say star,0.8396,0.0,0.63,0.37
119,R2UITL03LISL5B,5,five star,good like level heat,0.6597,0.0,0.27,0.73
120,R3FG3MTAK0NEOM,3,three star,great blow dryer little heavy expect,0.6249,0.0,0.549,0.451
121,R2FRB34VLWCLYY,5,five star,love hot pink mini-pro lightweight powerful super cute tote bag plus perfect travel use mine everyday think would good big clunky heavy dryer little baby get hot low setting also shoulder hand issue hurt blow dry hair love,0.9732,0.09,0.456,0.454
122,R316MKHZLAM8SU,4,four star,good hair dryer make hair straight kinda heavy compare hair dryer,0.5859,0.0,0.652,0.348
123,R3UDNY7MS25YUK,5,five star,excellent product,0.5719,0.0,0.213,0.787
124,R36TL21WUOSB62,2,great work,great hair dryer....for month yesterday heat element stop work blow cool air think since revlon product cheap would last year wrong,0.2732,0.185,0.592,0.223
125,R3HVP5OZQEH6UK,5,vidal sasson,bought sister use college come really fast love affordable thank,0.7893,0.0,0.534,0.466
126,R1UU61RBM66JSV,4,variable heat speed excellent safety feature,excellent hair dryer good feature feature seem marketer's mind rather real fix damage hair...whatever mean make hair shiny healthy improve already good look however real world day-to-day use capable effective dry styling.<br br feel solid well build without hefty solid cord connector circuit breaker protection build plug...excellent safety feature handle control well place ease use stay cool touch use speed heat setting low speed low heat work best put huge amount hot air high heat high speed cool air blow feature good finishing dry process couple attachment concentrator diffuser may find useful definitely portable though transportable weight issue.<br br hair dryer commodity lot choice unit stand crowded field work almost hair dry styling situation requirement,0.9917,0.048,0.592,0.36
127,RA5LX3D3TMOXL,5,five star,love,0.6369,0.0,0.0,1.0
128,R3JGMZZGZ157VL,5,light easy use,love light quickly dry hair,0.6369,0.0,0.488,0.512
129,RGUZZC439RSE0,5,go great,dryer work good really coarse thick hair use take really long time blow dry hair ordinary dryer bet cut dry time least half can't beat price type technology,0.2023,0.068,0.839,0.094
130,R3VNDUASP6N0Z9,3,three star,button interfere handle always turn,0.0,0.0,1.0,0.0
131,RD8D4BH6JSOVK,3,single switch select hi/low warm speed cool mode two switch,i've use old model remington hairdryer year able compare model another model brand.<br model number current hairdryer writing rub single switch select hi/low warm speed cool mode two switch one allow select three temperature two speed button fine straight shoulder length hair really use dryer anything dry i've never understand purpose cool shot button use function prefer exist dry set cool mode switch new model require hold button continuously cool air twice heavy slightly large exist dryer care pro nice look dryer anything like old remington probably last forever i'm plan stick old reliable lighter straightforward,0.9661,0.0,0.76,0.24
132,R1GHTPX91G2NAU,5,five star,work great want,0.6597,0.0,0.156,0.844
133,R3U9MSW3FCB3KK,5,work anywhere,travel abroad foreign country use vac instead usa vac mean try hair dryer overseas work second fail unit voltage selector switch work matter voltage fold much small unit name brand remember buy correct country plug adaptor,-0.5267,0.091,0.881,0.028
134,R2QP950SX68QYZ,5,love,love love love best one yet,0.9571,0.0,0.106,0.894
135,R207XVWE53FV0O,5,seem enjoy,boyfriend use seem enjoy,0.4939,0.0,0.484,0.516
136,R3H4UAA6ZKS3NB,5,work great,use curly air work great,0.6249,0.0,0.494,0.506
137,R1T0RWN3BW405D,4,feel well make little heavy hand,con take star away heavy hand awkwardly balance without add removable tip pro come impressively/beautifully package look beautiful feel well make lot dry power loud,0.7845,0.071,0.646,0.283
138,R1NM7MWCXHF2R9,5,keep improve health hair,awesome dryer fence i'm addict leaf fine fizzy dry hair soft smooth hair keep get healthy wait don't...you try sell,0.8225,0.0,0.664,0.336
139,RJ4C4FY7HHY9H,5,best blow dryer ever,buy hair blower cause lose back blow dryer must say favorite blow dryer really curly hair blow dry job hot spend much time one piece hair every time hair feel like come salon,0.4215,0.071,0.785,0.144
140,R3SKWR23KH1QPA,5,five star,love,0.6369,0.0,0.0,1.0
141,R1VFE2X5RAPWZ,4,four star,god product,0.2732,0.0,0.323,0.677
142,R1MLIC8RWA5SQU,1,one star,turn,0.0,0.0,1.0,0.0
143,R1ZRF2TKBU3QHG,3,true name,stay true name indeed mini buy thicker hair,0.4215,0.0,0.714,0.286
144,R2UBE6B90YYGJ6,1,worth it???no,month best investment yet hair use cheap hair dryer forever worth every penny however break shoot warm hot air disappointing product yet amazon buy work awhile well purchase new hair dryer...unfortunately one woman take pride hair need something reliable safe,0.8591,0.104,0.577,0.318
145,R36J7XQGK773PO,5,great hair dryer,great hair dryer love hair dryer ready use way mount wall one bathroom,0.8957,0.0,0.481,0.519
146,RZPYFNFRDVJC2,5,five star,love hair dryer louder i'm use hair seem smooth,0.6369,0.0,0.656,0.344
147,R3DJXEPP8M7OV1,5,good no-nonsense dryer,good no-nonsense hair dryer i'm rating three heat setting two speed give great versatility speed dry leisurely style assistance.<br br i'm particularly fond removable filter...this replace old hair dryer difficult clean i'm less fond attachments...not bad anything i've never use kind attachment hair dryer seem little loose though i'm sure ultimate utility.<br br put plenty power seem like heat without ton noise whisper-quiet seem little discreet old hair dryer.<br br like handy decent amount power behind say no-nonsense appreciate,0.9284,0.12,0.628,0.252
148,R210GWU074SB0R,5,say feel like real saloon,wife love thing say feel like real saloon,0.7717,0.0,0.472,0.528
149,R3RI44VDBL7VV2,5,five star,love hair dryer,0.6369,0.0,0.323,0.677
150,R1L1XEPY4VKLQS,5,five star,best dryer ever own,0.6369,0.0,0.417,0.583
151,R1M07XWDQ6WX7P,1,one star,junk diffuser fit dryer whole reason purchase item,0.3612,0.0,0.737,0.263
152,R1ZIYV52FN6JR3,5,trust brand series,use blow dryer year randomly break one day always give hair silky smooth shiny finish straight hair would say noise level average loud whisper quiet either heat speed setting could need blow retractable cord best feature prevents dread tangled mess,0.2263,0.115,0.731,0.154
153,R3QRN258JRPJKZ,5,five star,nice hair dryer good price,0.6908,0.0,0.345,0.655
154,RRMBIV919OM0G,1,one star,work italy,0.0,0.0,1.0,0.0
155,R22VIDOXE2PYLS,3,three star,get job do downfall bonnet connection keep pop must keep reattaching,0.0,0.0,1.0,0.0
156,R2D99YJ18OUBRU,5,five star,good,0.4404,0.0,0.0,1.0
157,R1W7BTEX3JEZMH,3,dryer work great careful cord,dryer work great careful cord last one cord work free dryer shoot spark cord,0.8176,0.108,0.404,0.489
158,R2U055A6I1X225,4,seem sturdy high setting strong quite,quite compact seem sturdy high setting strong quite loud,0.5106,0.0,0.708,0.292
159,R3F1WC765VILDD,5,five star,everything expect,0.0,0.0,1.0,0.0
160,R2K6WNOJGM7LB4,5,five star,work great,0.6249,0.0,0.196,0.804
161,R1MCHN8CAET370,5,five star,shipment take bit long good product,0.4404,0.0,0.633,0.367
162,R11O7ENEWWLLH3,3,powerful cute,alot hair dryer year like one pink could order amazon prime however...the high set blow like medium/low set erks thin hair probably mind thicker hair like pain annoying,0.296,0.161,0.591,0.247
163,RB2LW61J0SOH7,3,disappoint received power cord,buy replacement previous version dryer finally stop work year disappoint received power cord way short power nearly strong previous model it'll work would definitely buy,0.2732,0.154,0.658,0.188
164,R9SCI80QUSW9K,4,blow wind,nice blow dryer price lightweight trusty revlon/helen troy model that's still tick even numerous drop bathroom floor.<br br like numerous dial setting dryer hot maybe that's expect blow dryer heat along chemical like peroxide ammonia one hair's big enemy always dry hair low heat speed setting cool shot highly distinguishable warm set hair dryer barely tell apart heat setting feel relatively same.<br br verdict use dryer take long time dry thick hair however hair come nice shiny,0.8801,0.082,0.705,0.212
165,R1JV41KM7KTIDP,4,like,use yet like,0.3612,0.0,0.444,0.556
166,RGAFV01913DK8,5,five star,wok good,0.4404,0.0,0.256,0.744
167,R1TAYGEI12BB2P,4,work well wish,work well wish simple on-off switch addition multi-function slide switch small quibble,0.5859,0.0,0.676,0.324
168,R2JCLV2VBASA0D,5,five star,conair always make good product,0.4404,0.0,0.58,0.42
169,R1YVIVFA1H4AH6,5,five star,great size adequate power,0.7184,0.0,0.25,0.75
170,R347OYE5NGYX2R,5,small compact powerful,small compact powerful,0.4215,0.0,0.417,0.583
171,RHXHE5PZ138KX,1,worst hair dryer ever buy,want send new one year use blow bad hair dryer ever buy even conair hair dryer year ago still work please contact send new one,-0.2263,0.12,0.756,0.124
172,R3M0WYRHB0X911,3,amaze,really want love dryer come highly recommended professional stylist use twice dry hair quickly somewhat smooth use ceramic ion brush pleased result big step half broken one purchase sally's year ago visit mother recently purchase new drier rusk tell try use rusk amazed fast dried hair smooth silky hair felt love huge step twinturbo rusk return twinturbo could happier customer service refund super smooth dry star customer service via amazon seller stars.<br br pro dry fast smooth result nice button position.<br br con heavy wind screen back cover flimsy screen occasion use drier long hair suck screen cause tangle burn opinion design flaw hole back dry circumference fist!<br br look rusk outstanding dryer,0.9836,0.042,0.697,0.261
